RUS-AFG,1131
PAK-AFG,633
VNM-KHM,556
USA-NIC,522
SYR-LBN,501
USA-SLV,440
USA-IRN,394
IRN-IRQ,375
USA-RUS,366
ISR-LBN,363
IRQ-IRN,323
FRA-TCD,322
USA-ISR,318
USA-HND,313
USA-PHL,304
THA-KHM,292
THA-VNM,271
RUS-USA,270
USA-AFG,266
IRN-USA,265
USA-LBN,263
FRA-IRN,262
USA-GBR,251
CHN-VNM,231
FRA-LBN,231
ISR-PSE,224
GBR-USA,223
USA-EGY,219
USA-VNM,212
USA-PAN,208
ZAF-AFR,206
ISR-USA,205
USA-CHN,203
LBN-ISR,195
NIC-USA,194
AFG-RUS,188
JPN-USA,184
USA-JPN,180
KHM-VNM,178
VNM-THA,176
USA-FRA,173
USA-PAK,173
HND-NIC,158
LBY-TCD,153
USA-POL,153
USA-AFR,152
FRA-USA,150
LBN-SYR,149
USA-HTI,148
IRN-LBN,147
USA-DEU,147
USA-ETH,143
CUB-AGO,138
JPN-VNM,133
USA-SDN,131
PSE-ISR,129
USA-MEX,129
CHN-USA,128
USA-EUR,128
THA-LAO,127
GBR-IRL,124
VNM-USA,123
USA-THA,122
DEU-USA,119
AFG-PAK,118
PAN-USA,116
RUS-POL,116
USA-CUB,116
VNM-CHN,116
CAN-USA,113
JPN-CHN,111
ITA-LBN,110
RUS-VNM,106
TUR-CYP,103
HND-USA,102
AFR-AGO,101
SLV-USA,101
ISR-IRN,97
GBR-RUS,96
EGY-USA,95
ISR-SYR,95
USA-ITA,95
RUS-NIC,92
GBR-ARG,91
MEX-USA,90
GBR-AFR,89
JOR-IRQ,89
USA-COL,89
IRN-AFG,87
LBN-PSE,87
PHL-USA,87
USA-PSE,87
CHN-JPN,86
GBR-FRA,86
SAU-IRQ,86
LBN-USA,85
ARG-GBR,82
USA-KOR,82
EGY-IRQ,81
GBR-LBN,81
CHN-KHM,80
JPN-PHL,79
ISR-ETH,78
USA-TCD,78
NIC-HND,77
EGY-ISR,75
IRN-FRA,75
KWT-IRQ,75
USA-GRD,75
USA-AGO,74
RUS-CUB,73
FRA-LBY,72
USA-TUR,72
JPN-MMR,71
LBY-USA,71
EUR-USA,70
KHM-THA,70
DEU-POL,69
RUS-IRN,69
USA-IRQ,69
AFR-ZAF,68
FRA-AFR,68
USA-CAN,68
AFR-USA,67
ITA-USA,67
HND-SLV,66
ISR-RUS,66
RUS-ETH,66
VNM-LAO,66
AFR-MOZ,65
CRI-NIC,65
FRA-ITA,65
JOR-PSE,65
PSE-LBN,65
USA-BOL,65
AFR-NAM,63
USA-KHM,63
EGY-IRN,62
JOR-ISR,62
DEU-RUS,61
GBR-UGA,61
ISR-EGY,61
SDN-TCD,61
TZA-MOZ,61
CUB-USA,60
GBR-AFG,60
POL-RUS,60
USA-KEN,60
SYR-ISR,59
KEN-UGA,58
SDN-ETH,58
USA-GRC,58
USA-SAU,58
LBN-FRA,56
LBY-SDN,56
RUS-DEU,56
RUS-KHM,56
RUS-SYR,56
AUS-AFG,55
FRA-VNM,55
TCD-LBY,55
GBR-ZWE,54
ZWE-MOZ,54
CHN-THA,53
USA-IRL,53
FRA-IRQ,52
GBR-DEU,52
JPN-PAK,52
SAU-SYR,52
DEU-EUR,51
EGY-LBY,51
JPN-GHA,51
NGA-AFR,51
POL-USA,51
FRA-RUS,50
GBR-EUR,50
IRL-GBR,50
JPN-THA,50
MYS-VNM,50
RUS-GBR,50
THA-USA,50
PSE-JOR,49
SDN-USA,49
DEU-GBR,48
JPN-BGD,48
NIC-CUB,48
SYR-MEA,48
USA-PER,48
USA-SOM,48
AFG-USA,47
JPN-AFG,47
LBN-IRN,47
AUS-VNM,46
CAN-AFG,46
GBR-KEN,46
IRN-ISR,46
IRN-SYR,46
POL-DEU,46
THA-CHN,46
USA-CRI,46
AGO-AFR,45
GBR-IRN,45
USA-CHE,45
USA-LBR,45
ISR-UGA,44
RUS-JPN,44
RUS-PAK,44
SYR-PSE,44
UGA-SDN,44
AUS-NZL,43
IRL-USA,43
SAU-SDN,43
EGY-SDN,42
FRA-HTI,42
JPN-NPL,42
JPN-RUS,42
RUS-CHN,42
RUS-FRA,42
SAU-ISR,42
TCD-FRA,42
TZA-UGA,42
VNM-RUS,42
DEU-FRA,41
GBR-PAK,41
GRC-CYP,41
SLV-HND,41
SYR-USA,41
USA-HUN,41
AGO-CUB,40
CYP-GRC,40
EGY-PSE,40
EUR-SDN,40
LBY-SYR,40
SAU-YEM,40
THA-MMR,40
CUB-NIC,39
EUR-AFR,39
IND-LKA,39
JPN-IDN,39
JPN-KOR,39
JPN-TUR,39
LBN-ITA,39
MWI-MOZ,39
RUS-IRQ,39
USA-MAR,39
USA-ZAF,39
CYP-TUR,38
GBR-NGA,38
GRC-TUR,38
HTI-USA,38
IRQ-JOR,38
JPN-SEA,38
NIC-SLV,38
PHL-VNM,38
SDN-UGA,38
USA-GTM,38
VEN-NIC,38
AUS-USA,37
CHN-RUS,37
DEU-AFR,37
ETH-SDN,37
KOR-PRK,37
NIC-CRI,37
USA-JOR,37
USA-MOZ,37
CUB-AFR,36
ETH-USA,36
FRA-CAF,36
FRA-DEU,36
JOR-IRN,36
LAO-THA,36
LBY-PSE,36
MOZ-AFR,36
PAK-USA,36
SAU-IRN,36
TUR-IRN,36
USA-BRA,36
USA-UGA,36
ZAF-AGO,36
GBR-CAN,35
ISR-FRA,35
JPN-AFR,35
JPN-EGY,35
RUS-AGO,35
SEA-VNM,35
AUT-POL,34
CHE-USA,34
CHN-AFG,34
COL-USA,34
ITA-GBR,34
USA-LBY,34
USA-WST,34
ZWE-AFR,34
AFR-KEN,33
AFR-ZWE,33
ARG-USA,33
FRA-AFG,33
ITA-FRA,33
JPN-KHM,33
SWE-AFR,33
SYR-LBY,33
USA-ARG,33
USA-ZWE,33
ZWE-GBR,33
CAN-AFR,32
COD-TCD,32
ETH-ISR,32
FRA-GBR,32
FRA-ISR,32
GTM-USA,32
ITA-ETH,32
ITA-PSE,32
JPN-SOM,32
RUS-AFR,32
SAU-USA,32
SDN-IRQ,32
USA-LAO,32
USA-SYR,32
GBR-CHN,31
GBR-ITA,31
GRC-USA,31
JPN-IRN,31
JPN-NGA,31
MEX-GTM,31
PER-USA,31
PHL-JPN,31
SEN-GMB,31
ETH-AFR,30
FRA-ESP,30
FRA-PSE,30
GBR-ETH,30
IRN-SAU,30
JPN-LKA,30
LBY-FRA,30
MEX-NIC,30
RUS-EUR,30
RUS-ISR,30
RUS-LBY,30
SAU-AFG,30
CUB-ETH,29
ESP-USA,29
FRA-POL,29
GBR-GHA,29
GBR-LBY,29
GTM-SLV,29
ISR-JOR,29
JPN-ZMB,29
KEN-USA,29
NOR-NIC,29
PRK-JPN,29
SAU-LBN,29
SDN-EGY,29
CAN-IRN,28
CHE-PHL,28
CHN-PAK,28
EGY-RUS,28
ITA-AFG,28
JOR-SDN,28
JPN-MEX,28
JPN-TZA,28
KEN-AFR,28
LAO-VNM,28
RUS-FIN,28
RWA-BDI,28
SYR-JOR,28
USA-CHL,28
VNM-SEA,28
CMR-TCD,27
DEU-AFG,27
DEU-KEN,27
DEU-VNM,27
DEU-WST,27
FRA-EGY,27
FRA-EUR,27
KWT-USA,27
NZL-FJI,27
PSE-USA,27
RUS-TUR,27
SAU-EGY,27
SYR-IRN,27
USA-ESP,27
VAT-USA,27
ZAF-USA,27
AUS-AFR,26
CHN-GBR,26
ITA-ISR,26
PAK-BGD,26
SOM-ETH,26
AUS-CHN,25
ETH-ERI,25
FRA-TGO,25
IRQ-SYR,25
ITA-RUS,25
KEN-SOM,25
LBY-AFR,25
LBY-LBN,25
NOR-MOZ,25
PAK-RUS,25
POL-EUR,25
SAU-PSE,25
TUR-GRC,25
USA-NGA,25
USA-NLD,25
USA-ZMB,25
ARM-RUS,24
CHN-IRN,24
DEU-NIC,24
FRA-SEN,24
GRD-USA,24
HUN-DEU,24
JPN-POL,24
KOR-JPN,24
KWT-EGY,24
MEX-SLV,24
MEX-VEN,24
PAK-IRN,24
SLV-NIC,24
SWE-RUS,24
USA-COD,24
AFG-IRN,23
AFR-FRA,23
AGO-NAM,23
AUS-PHL,23
BRA-PRY,23
CAN-GBR,23
CRI-USA,23
CUB-NAM,23
DEU-BGD,23
EUR-DEU,23
EUR-NGA,23
GBR-VNM,23
ITA-MOZ,23
PRT-MOZ,23
RUS-HUN,23
SWE-ETH,23
SWE-NIC,23
USA-SEA,23
VAT-PAN,23
AUS-FJI,22
FIN-TZA,22
FRA-CMR,22
FRA-NIC,22
GBR-MOZ,22
ITA-SDN,22
MEA-LBN,22
NLD-SDN,22
NLD-USA,22
PRK-KOR,22
RUS-EGY,22
SAU-KWT,22
TZA-AFR,22
VEN-USA,22
CAN-BGD,21
CHN-PRK,21
DEU-ITA,21
FIN-VNM,21
FRA-COD,21
GBR-NPL,21
GBR-POL,21
IRN-TUR,21
IRQ-LBN,21
IRQ-SDN,21
NLD-MOZ,21
RUS-ARM,21
RUS-MOZ,21
SGP-VNM,21
