actorA,actorB
ABW,VEN
AFG,AGO
AFG,AZE
AFG,BGR
AFG,CAN
AFG,CHE
AFG,CHN
AFG,CUB
AFG,CZE
AFG,DEU
AFG,EGY
AFG,ETH
AFG,EUR
AFG,FRA
AFG,GBR
AFG,HUN
AFG,IND
AFG,IRN
AFG,ISR
AFG,JPN
AFG,KHM
AFG,KOR
AFG,MAR
AFG,NIC
AFG,PAK
AFG,POL
AFG,RUS
AFG,SAS
AFG,SAU
AFG,SVK
AFG,SWE
AFG,TJK
AFG,TKM
AFG,UKR
AFG,USA
AFG,VNM
AFG,YEM
AFR,AGO
AFR,ARE
AFR,ARG
AFR,ASA
AFR,AUS
AFR,AUT
AFR,BDI
AFR,BEN
AFR,BFA
AFR,BWA
AFR,CAF
AFR,CAN
AFR,CHE
AFR,CHN
AFR,CIV
AFR,CMR
AFR,COD
AFR,COG
AFR,COM
AFR,CPV
AFR,CUB
AFR,DEU
AFR,DJI
AFR,DNK
AFR,DZA
AFR,EGY
AFR,ERI
AFR,ETH
AFR,EUR
AFR,FRA
AFR,GAB
AFR,GBR
AFR,GHA
AFR,GIN
AFR,GNB
AFR,GRC
AFR,HTI
AFR,IND
AFR,IRN
AFR,ISR
AFR,ITA
AFR,JPN
AFR,KEN
AFR,KWT
AFR,LBR
AFR,LBY
AFR,LSO
AFR,MAR
AFR,MDG
AFR,MLI
AFR,MOZ
AFR,MUS
AFR,MWI
AFR,NAM
AFR,NER
AFR,NGA
AFR,NOR
AFR,POL
AFR,PRT
AFR,RUS
AFR,SAU
AFR,SDN
AFR,SEN
AFR,SOM
AFR,SWE
AFR,SWZ
AFR,TCD
AFR,TGO
AFR,TTO
AFR,TUN
AFR,TZA
AFR,UGA
AFR,USA
AFR,VNM
AFR,YEM
AFR,ZAF
AFR,ZMB
AFR,ZWE
AGO,AFR
AGO,ARG
AGO,BGR
AGO,BRA
AGO,CIV
AGO,COD
AGO,CUB
AGO,GNB
AGO,MOZ
AGO,NAM
AGO,NGA
AGO,NIC
AGO,PRT
AGO,RUS
AGO,STP
AGO,USA
AGO,ZAF
AGO,ZWE
AIA,GBR
ALB,CHN
ALB,DEU
ALB,ESP
ALB,EUR
ALB,GRC
ALB,ITA
ALB,TUR
ARE,AFG
ARE,AFR
ARE,DNK
ARE,GBR
ARE,IRN
ARE,IRQ
ARE,ISR
ARE,KWT
ARE,LBN
ARE,MAR
ARE,MDG
ARE,NLD
ARE,OMN
ARE,PAK
ARE,PSE
ARE,QAT
ARE,SAU
ARE,SDN
ARE,SEN
ARE,SYC
ARE,SYR
ARE,TUN
ARE,TZA
ARE,USA
ARE,YEM
ARG,AGO
ARG,ARM
ARG,BOL
ARG,BRA
ARG,CAN
ARG,CHL
ARG,CHN
ARG,COL
ARG,CUB
ARG,DEU
ARG,ESP
ARG,EUR
ARG,FRA
ARG,GBR
ARG,GTM
ARG,HND
ARG,HTI
ARG,IND
ARG,IRN
ARG,ISR
ARG,ITA
ARG,JPN
ARG,KOR
ARG,MEX
ARG,NIC
ARG,PAN
ARG,PER
ARG,PHL
ARG,POL
ARG,PRY
ARG,RUS
ARG,SLV
ARG,URY
ARG,USA
ARG,VAT
ARG,VEN
ARM,AZE
ARM,CYP
ARM,ETH
ARM,EUR
ARM,FRA
ARM,GBR
ARM,GRC
ARM,KGZ
ARM,MDA
ARM,PSE
ARM,RUS
ARM,SVK
ARM,TJK
ARM,TKM
ARM,TUR
ARM,UKR
ARM,USA
ARM,UZB
ASA,AFG
ASA,BGD
ASA,CHE
ASA,CHN
ASA,FJI
ASA,IDN
ASA,IND
ASA,JPN
ASA,LKA
ASA,MMR
ASA,MYS
ASA,NOR
ASA,NPL
ASA,PAK
ASA,PHL
ASA,PNG
ASA,USA
ATG,AFR
ATG,GRD
ATG,GUY
ATG,LBY
ATG,VCT
AUS,AFG
AUS,AFR
AUS,ARG
AUS,BGD
AUS,BRA
AUS,BWA
AUS,CAN
AUS,CHL
AUS,CHN
AUS,COL
AUS,CYP
AUS,DEU
AUS,EGY
AUS,ERI
AUS,ETH
AUS,FJI
AUS,FRA
AUS,GBR
AUS,GHA
AUS,GRC
AUS,IDN
AUS,IRN
AUS,IRQ
AUS,JAM
AUS,JPN
AUS,KEN
AUS,KHM
AUS,KOR
AUS,LAO
AUS,LBN
AUS,LBY
AUS,LKA
AUS,MOZ
AUS,MWI
AUS,MYS
AUS,NAM
AUS,NGA
AUS,NIC
AUS,NZL
AUS,PAK
AUS,PHL
AUS,PNG
AUS,POL
AUS,RUS
AUS,SAS
AUS,SDN
AUS,SEA
AUS,SGP
AUS,SLB
AUS,SLV
AUS,SVK
AUS,SWE
AUS,SYC
AUS,THA
AUS,TMP
AUS,TON
AUS,TUV
AUS,TZA
AUS,UGA
AUS,URY
AUS,USA
AUS,VNM
AUS,VUT
AUS,YEM
AUS,ZAF
AUS,ZMB
AUS,ZWE
AUT,AFG
AUT,AFR
AUT,AGO
AUT,ARM
AUT,AUS
AUT,BEL
AUT,BFA
AUT,BGR
AUT,BRA
AUT,BTN
AUT,BWA
AUT,CHE
AUT,CYP
AUT,CZE
AUT,DEU
AUT,ESP
AUT,ETH
AUT,EUR
AUT,FRA
AUT,GBR
AUT,HRV
AUT,HUN
AUT,IRN
AUT,ISR
AUT,JPN
AUT,KEN
AUT,KHM
AUT,LAO
AUT,LBN
AUT,LBY
AUT,MOZ
AUT,NIC
AUT,PAK
AUT,PHL
AUT,POL
AUT,PRY
AUT,PSE
AUT,RUS
AUT,SLE
AUT,SVK
AUT,SWE
AUT,TUR
AUT,UGA
AUT,USA
AUT,ZWE
AZE,ARM
AZE,IRN
AZE,KGZ
AZE,MDA
AZE,RUS
AZE,TJK
AZE,TKM
AZE,USA
AZE,UZB
BDI,AFR
BDI,CAF
BDI,EUR
BDI,FRA
BDI,JPN
BDI,KEN
BDI,RWA
BDI,UGA
BDI,USA
BEL,AFR
BEL,AGO
BEL,BDI
BEL,BGD
BEL,BRA
BEL,CAN
BEL,CHE
BEL,CHN
BEL,CMR
BEL,COD
BEL,COG
BEL,CYP
BEL,DEU
BEL,DZA
BEL,EGY
BEL,ETH
BEL,EUR
BEL,FRA
BEL,GBR
BEL,ITA
BEL,JPN
BEL,KEN
BEL,LBN
BEL,MAR
BEL,MDG
BEL,NER
BEL,NLD
BEL,PAK
BEL,PHL
BEL,POL
BEL,RUS
BEL,RWA
BEL,SDN
BEL,TCD
BEL,TUN
BEL,TUR
BEL,TZA
BEL,UGA
BEL,UKR
BEL,USA
BEL,VNM
BEL,WST
BEL,ZMB
BEN,AFR
BEN,FRA
BEN,GAB
BEN,GNB
BEN,JPN
BEN,NER
BEN,NGA
BEN,TCD
BFA,AFR
BFA,AGO
BFA,CAF
BFA,EUR
BFA,FRA
BFA,GHA
BFA,MLI
BGD,AFR
BGD,BTN
BGD,DEU
BGD,DNK
BGD,EUR
BGD,FIN
BGD,IND
BGD,IRN
BGD,IRQ
BGD,ISR
BGD,ITA
BGD,JPN
BGD,MMR
BGD,NAM
BGD,NLD
BGD,PAK
BGD,PHL
BGD,PSE
BGD,SAU
BGD,THA
BGD,UGA
BGD,USA
BGD,ZAF
BGD,ZWE
BGR,AFG
BGR,AFR
BGR,AGO
BGR,ALB
BGR,ARM
BGR,AUT
BGR,BHR
BGR,CUB
BGR,DEU
BGR,DZA
BGR,ESP
BGR,ETH
BGR,EUR
BGR,FRA
BGR,GBR
BGR,GHA
BGR,GIN
BGR,GRC
BGR,HUN
BGR,IRQ
BGR,ISR
BGR,ITA
BGR,JOR
BGR,JPN
BGR,KHM
BGR,LAO
BGR,LBN
BGR,LBR
BGR,LBY
BGR,MAR
BGR,MKD
BGR,MNG
BGR,NGA
BGR,NIC
BGR,POL
BGR,RUS
BGR,SVK
BGR,SYR
BGR,TUR
BGR,TZA
BGR,USA
BGR,VNM
BGR,ZMB
BGR,ZWE
BHR,EGY
BHR,HUN
BHR,IRN
BHR,IRQ
BHR,PAK
BHR,PHL
BHR,SAU
BHR,SDN
BHR,SWE
BHR,TCD
BHR,TUR
BHR,USA
BHS,CUB
BHS,DNK
BHS,HTI
BHS,USA
BLR,AGO
BLR,RUS
BLR,VNM
BLZ,AFG
BLZ,GRC
BLZ,GTM
BLZ,HTI
BLZ,LBN
BLZ,NIC
BLZ,RUS
BLZ,SAU
BLZ,USA
BLZ,WST
BMU,CAN
BMU,DEU
BMU,NIC
BMU,SLV
BMU,USA
BMU,ZWE
BOL,ARG
BOL,EGY
BOL,FRA
BOL,GBR
BOL,JPN
BOL,MEX
BOL,NAM
BOL,PER
BOL,URY
BOL,USA
BRA,AGO
BRA,ARG
BRA,AUT
BRA,BOL
BRA,CHE
BRA,CHL
BRA,CIV
BRA,COD
BRA,COL
BRA,CUB
BRA,DEU
BRA,DOM
BRA,EUR
BRA,FRA
BRA,GBR
BRA,GHA
BRA,GUY
BRA,HND
BRA,HTI
BRA,HUN
BRA,IRN
BRA,IRQ
BRA,ISR
BRA,ITA
BRA,JPN
BRA,KHM
BRA,LBN
BRA,LBY
BRA,MAR
BRA,MCO
BRA,MEX
BRA,NGA
BRA,PER
BRA,PRY
BRA,PSE
BRA,RUS
BRA,SLV
BRA,SUR
BRA,USA
BRA,VEN
BRB,AFR
BRB,GBR
BRB,GRD
BRB,GUY
BRB,JAM
BRB,TCD
BRB,TTO
BRB,USA
BRB,VCT
BRN,CHE
BRN,CHN
BRN,DEU
BRN,GBR
BRN,IRN
BRN,MYS
BRN,NIC
BRN,PHL
BRN,THA
BRN,USA
BRN,VNM
BTN,BGD
BTN,FRA
BTN,MDV
BTN,SAS
BWA,AFR
BWA,AGO
BWA,DEU
BWA,LSO
BWA,MOZ
BWA,NAM
BWA,NGA
BWA,SWZ
BWA,USA
BWA,ZAF
BWA,ZMB
BWA,ZWE
CAF,AFR
CAF,DEU
CAF,FRA
CAF,GNQ
CAF,TCD
CAN,AFG
CAN,AFR
CAN,AGO
CAN,ARM
CAN,AUS
CAN,BEL
CAN,BGD
CAN,BHS
CAN,BRB
CAN,BWA
CAN,CHE
CAN,CHN
CAN,COD
CAN,COG
CAN,COL
CAN,CRI
CAN,CUB
CAN,CYP
CAN,DEU
CAN,DNK
CAN,DZA
CAN,ECU
CAN,EGY
CAN,ESP
CAN,ETH
CAN,EUR
CAN,FJI
CAN,FRA
CAN,GBR
CAN,GHA
CAN,GRD
CAN,HTI
CAN,HUN
CAN,IDN
CAN,IRL
CAN,IRN
CAN,IRQ
CAN,ISR
CAN,ITA
CAN,JAM
CAN,JOR
CAN,JPN
CAN,KEN
CAN,LBN
CAN,LIE
CAN,LKA
CAN,MCO
CAN,MEX
CAN,MLI
CAN,MMR
CAN,MOZ
CAN,MRT
CAN,MWI
CAN,NAM
CAN,NER
CAN,NGA
CAN,NIC
CAN,NLD
CAN,NMR
CAN,NOR
CAN,NPL
CAN,NZL
CAN,PAK
CAN,PAN
CAN,PER
CAN,PHL
CAN,POL
CAN,PSE
CAN,RUS
CAN,SDN
CAN,SEA
CAN,SEN
CAN,SLV
CAN,SWE
CAN,SYC
CAN,TGO
CAN,TTO
CAN,TUN
CAN,TUR
CAN,TZA
CAN,URY
CAN,USA
CAN,VCT
CAN,VEN
CAN,VNM
CAN,WAF
CAN,WST
CAN,ZAF
CAN,ZMB
CAN,ZWE
CHE,AFG
CHE,AFR
CHE,ARG
CHE,AUT
CHE,BDI
CHE,BEL
CHE,BEN
CHE,BOL
CHE,CHN
CHE,DEU
CHE,DNK
CHE,EGY
CHE,ESP
CHE,ETH
CHE,EUR
CHE,FRA
CHE,GAB
CHE,GBR
CHE,GHA
CHE,GTM
CHE,IRN
CHE,ISL
CHE,ISR
CHE,ITA
CHE,JPN
CHE,KHM
CHE,LAO
CHE,LBN
CHE,MDG
CHE,MEX
CHE,MMR
CHE,MOZ
CHE,NAM
CHE,NIC
CHE,NLD
CHE,NOR
CHE,NPL
CHE,PAK
CHE,PER
CHE,PHL
CHE,POL
CHE,RUS
CHE,RWA
CHE,SAU
CHE,SEA
CHE,SEN
CHE,SLV
CHE,SVK
CHE,SWE
CHE,THA
CHE,TUR
CHE,TZA
CHE,UGA
CHE,USA
CHE,ZMB
CHL,AFR
CHL,ARG
CHL,BEL
CHL,BOL
CHL,COD
CHL,CUB
CHL,FRA
CHL,GBR
CHL,HND
CHL,IRQ
CHL,KEN
CHL,NGA
CHL,POL
CHL,PRY
CHL,RUS
CHL,USA
CHL,VEN
CHN,AFG
CHN,AFR
CHN,AGO
CHN,ASA
CHN,ATG
CHN,AUS
CHN,BDI
CHN,BEL
CHN,BFA
CHN,BGD
CHN,BGR
CHN,BRA
CHN,BRN
CHN,BWA
CHN,CAF
CHN,CAN
CHN,CHE
CHN,CHL
CHN,CMR
CHN,COD
CHN,COG
CHN,COL
CHN,CZE
CHN,DEU
CHN,DJI
CHN,EGY
CHN,ESP
CHN,ETH
CHN,EUR
CHN,FRA
CHN,GBR
CHN,GHA
CHN,GIN
CHN,GMB
CHN,GRC
CHN,GRD
CHN,HND
CHN,HUN
CHN,IDN
CHN,IND
CHN,IRN
CHN,ISR
CHN,ITA
CHN,JOR
CHN,JPN
CHN,KEN
CHN,KHM
CHN,KOR
CHN,KWT
CHN,LAO
CHN,LBN
CHN,LBR
CHN,LBY
CHN,LIE
CHN,LKA
CHN,LSO
CHN,MAC
CHN,MAR
CHN,MDG
CHN,MDV
CHN,MEX
CHN,MLI
CHN,MLT
CHN,MMR
CHN,MNG
CHN,MOZ
CHN,MRT
CHN,MYS
CHN,NAM
CHN,NER
CHN,NIC
CHN,NPL
CHN,NZL
CHN,OMN
CHN,PAK
CHN,PGS
CHN,PHL
CHN,PNG
CHN,POL
CHN,PRK
CHN,PRT
CHN,PSE
CHN,RUS
CHN,SAU
CHN,SDN
CHN,SEA
CHN,SEN
CHN,SGP
CHN,SOM
CHN,SWE
CHN,THA
CHN,TMP
CHN,TTO
CHN,TUN
CHN,TZA
CHN,UGA
CHN,USA
CHN,VNM
CHN,YEM
CHN,ZAF
CHN,ZMB
CHN,ZWE
CIV,AFR
CIV,AGO
CIV,BEL
CIV,FRA
CIV,GHA
CIV,GIN
CIV,JPN
CIV,KEN
CIV,LBR
CIV,TGO
CIV,ZMB
CMR,AFR
CMR,DEU
CMR,ESP
CMR,FRA
CMR,GNQ
CMR,JPN
CMR,SAU
CMR,SEN
CMR,TCD
COD,AFR
COD,AGO
COD,BEL
COD,BLZ
COD,CAF
COD,CHN
COD,CIV
COD,DEU
COD,EGY
COD,EUR
COD,FRA
COD,GAB
COD,GBR
COD,IND
COD,ISR
COD,JPN
COD,KEN
COD,LBY
COD,NGA
COD,RWA
COD,SDN
COD,SEN
COD,TCD
COD,TGO
COD,UGA
COD,USA
COG,AFR
COG,CAF
COG,CIV
COG,COD
COG,DEU
COG,GNQ
COG,TCD
COG,TGO
COK,NZL
COK,PHL
COL,ARG
COL,BOL
COL,CAN
COL,CRI
COL,CUB
COL,ECU
COL,EGY
COL,ESP
COL,FJI
COL,FRA
COL,GBR
COL,ISR
COL,ITA
COL,JPN
COL,MEX
COL,NIC
COL,PAN
COL,URY
COL,USA
COL,VEN
COM,AFR
COM,FRA
COM,LSO
CPV,AFR
CPV,BGR
CPV,BRA
CPV,EUR
CPV,IND
CPV,LSO
CPV,NAM
CPV,PRT
CRB,GRD
CRI,ATG
CRI,CHE
CRI,CUB
CRI,ESP
CRI,HND
CRI,HUN
CRI,NIC
CRI,NOR
CRI,PAN
CRI,PER
CRI,PHL
CRI,SLV
CRI,USA
CRI,VEN
CUB,AFR
CUB,AGO
CUB,ALB
CUB,ARG
CUB,ARM
CUB,BDI
CUB,BGR
CUB,BRA
CUB,CHE
CUB,CHL
CUB,COD
CUB,COL
CUB,CPV
CUB,CRI
CUB,DZA
CUB,ERI
CUB,ESP
CUB,ETH
CUB,GNB
CUB,GRD
CUB,GUY
CUB,HND
CUB,HTI
CUB,IRQ
CUB,ISR
CUB,ITA
CUB,JAM
CUB,LAO
CUB,MEX
CUB,MOZ
CUB,NAM
CUB,NIC
CUB,PAN
CUB,PER
CUB,PRK
CUB,PRT
CUB,PSE
CUB,RUS
CUB,SLV
CUB,SOM
CUB,SUR
CUB,UGA
CUB,USA
CUB,VEN
CUB,VNM
CUB,YEM
CUB,ZAF
CUB,ZMB
CYP,ARM
CYP,BGR
CYP,CHE
CYP,EGY
CYP,EUR
CYP,GBR
CYP,GRC
CYP,IRN
CYP,IRQ
CYP,ISR
CYP,KWT
CYP,LBN
CYP,PSE
CYP,RUS
CYP,SYR
CYP,TUR
CYP,USA
CZE,AFG
CZE,AFR
CZE,BEN
CZE,BGR
CZE,CHE
CZE,CHN
CZE,DEU
CZE,ETH
CZE,EUR
CZE,FSM
CZE,HUN
CZE,IRQ
CZE,KHM
CZE,MLI
CZE,NIC
CZE,POL
CZE,PSE
CZE,RUS
CZE,SVK
CZE,TZA
DEU,AFG
DEU,AFR
DEU,AGO
DEU,ALB
DEU,ARG
DEU,AUS
DEU,AUT
DEU,BDI
DEU,BEL
DEU,BFA
DEU,BGD
DEU,BGR
DEU,BOL
DEU,BRA
DEU,BRN
DEU,BWA
DEU,CAN
DEU,CHE
DEU,CHL
DEU,CHN
DEU,CMR
DEU,COD
DEU,COL
DEU,CUB
DEU,CZE
DEU,DNK
DEU,ECU
DEU,EGY
DEU,ESP
DEU,ETH
DEU,EUR
DEU,FIN
DEU,FRA
DEU,GBR
DEU,GHA
DEU,GIN
DEU,GNB
DEU,GRC
DEU,GTM
DEU,HUN
DEU,IDN
DEU,IND
DEU,IRN
DEU,IRQ
DEU,ISL
DEU,ISR
DEU,ITA
DEU,JOR
DEU,JPN
DEU,KEN
DEU,KHM
DEU,KWT
DEU,LAO
DEU,LBN
DEU,LBR
DEU,LBY
DEU,LKA
DEU,LSO
DEU,MAR
DEU,MDG
DEU,MEX
DEU,MLI
DEU,MMR
DEU,MOZ
DEU,MRT
DEU,NAM
DEU,NGA
DEU,NIC
DEU,NLD
DEU,NOR
DEU,NPL
DEU,PAK
DEU,PER
DEU,PGS
DEU,PHL
DEU,POL
DEU,PRK
DEU,PRT
DEU,PSE
DEU,RUS
DEU,RWA
DEU,SAU
DEU,SDN
DEU,SEN
DEU,SLE
DEU,SLV
DEU,SOM
DEU,SVK
DEU,SWE
DEU,SWZ
DEU,SYR
DEU,TGO
DEU,THA
DEU,TUN
DEU,TUR
DEU,TZA
DEU,UGA
DEU,UKR
DEU,USA
DEU,VAT
DEU,VNM
DEU,WST
DEU,YEM
DEU,ZAF
DEU,ZMB
DEU,ZWE
DJI,ETH
DJI,FRA
DJI,LSO
DJI,SAU
DJI,SDN
DJI,YEM
DMA,BRB
DMA,EUR
DMA,GRD
DMA,USA
DMA,VCT
DNK,AFG
DNK,AFR
DNK,BGD
DNK,BOL
DNK,CAN
DNK,CHE
DNK,CHL
DNK,CHN
DNK,DEU
DNK,ESP
DNK,EUR
DNK,GHA
DNK,GNB
DNK,GRC
DNK,IRN
DNK,ISL
DNK,ITA
DNK,KEN
DNK,LBN
DNK,LKA
DNK,MOZ
DNK,NAM
DNK,NIC
DNK,NLD
DNK,NPL
DNK,PAK
DNK,POL
DNK,RUS
DNK,SEN
DNK,SGP
DNK,SWE
DNK,TZA
DNK,UGA
DNK,USA
DNK,VNM
DNK,WST
DNK,ZAF
DNK,ZWE
DOM,COL
DOM,ESP
DOM,FRA
DOM,HTI
DOM,ITA
DOM,PAN
DOM,SLV
DOM,USA
DOM,VEN
DZA,ARE
DZA,CHN
DZA,ESP
DZA,ETH
DZA,EUR
DZA,FRA
DZA,GRC
DZA,IRN
DZA,JOR
DZA,LBN
DZA,LBR
DZA,LBY
DZA,MAR
DZA,MEX
DZA,MLT
DZA,MOZ
DZA,MRT
DZA,PRT
DZA,RUS
DZA,SAU
DZA,SEN
DZA,SYR
DZA,TCD
DZA,TUN
DZA,USA
DZA,VNM
DZA,ZWE
ECU,ARG
ECU,BEN
ECU,CHE
ECU,CHL
ECU,COL
ECU,ISR
ECU,MEX
ECU,PAN
ECU,PER
ECU,USA
EEU,EUR
EGY,AFG
EGY,AFR
EGY,ARE
EGY,BGD
EGY,BOL
EGY,CAN
EGY,CHE
EGY,CYP
EGY,ERI
EGY,EUR
EGY,FRA
EGY,GBR
EGY,GRC
EGY,IRN
EGY,IRQ
EGY,ISR
EGY,ITA
EGY,JOR
EGY,JPN
EGY,KEN
EGY,KWT
EGY,LBN
EGY,LBY
EGY,MAR
EGY,MEA
EGY,MLT
EGY,MWI
EGY,OMN
EGY,PAN
EGY,PGS
EGY,PSE
EGY,RUS
EGY,RWA
EGY,SAU
EGY,SDN
EGY,SOM
EGY,SYR
EGY,TCD
EGY,TUN
EGY,TUR
EGY,UGA
EGY,USA
EGY,YEM
EGY,ZAF
ERI,ETH
ERI,ITA
ERI,KEN
ERI,SDN
ERI,USA
ESP,AFR
ESP,AGO
ESP,ARG
ESP,BEL
ESP,BGR
ESP,BOL
ESP,CHE
ESP,CHN
ESP,CIV
ESP,COL
ESP,CRI
ESP,CUB
ESP,DEU
ESP,DZA
ESP,ECU
ESP,EGY
ESP,EUR
ESP,FIN
ESP,FRA
ESP,GBR
ESP,GHA
ESP,GIN
ESP,GNQ
ESP,GRC
ESP,GRD
ESP,GTM
ESP,IRN
ESP,ITA
ESP,JPN
ESP,LBN
ESP,LBY
ESP,MEX
ESP,MRT
ESP,NIC
ESP,NLD
ESP,PAN
ESP,PER
ESP,PHL
ESP,POL
ESP,PRT
ESP,RUS
ESP,SDN
ESP,SEN
ESP,SLV
ESP,USA
ESP,VEN
ESP,WST
EST,FIN
EST,LTU
EST,LVA
EST,MDA
EST,RUS
EST,SWE
EST,UKR
EST,USA
ETH,AFG
ETH,AFR
ETH,AGO
ETH,AUS
ETH,AUT
ETH,BGR
ETH,CHE
ETH,CHN
ETH,CUB
ETH,DJI
ETH,ERI
ETH,FIN
ETH,GBR
ETH,GHA
ETH,ISR
ETH,ITA
ETH,JPN
ETH,KEN
ETH,LBN
ETH,LBY
ETH,MEX
ETH,MOZ
ETH,MWI
ETH,POL
ETH,RUS
ETH,SAU
ETH,SDN
ETH,SLV
ETH,SOM
ETH,SWE
ETH,TZA
ETH,UGA
ETH,USA
ETH,YEM
ETH,ZMB
ETH,ZWE
EUR,AFG
EUR,AFR
EUR,AGO
EUR,ARG
EUR,AUS
EUR,AUT
EUR,BDI
EUR,BEL
EUR,BEN
EUR,BFA
EUR,BGD
EUR,BGR
EUR,BOL
EUR,BRA
EUR,BWA
EUR,CAN
EUR,CHE
EUR,CHL
EUR,CHN
EUR,CMR
EUR,COD
EUR,COG
EUR,COL
EUR,DEU
EUR,DJI
EUR,DZA
EUR,ECU
EUR,EGY
EUR,ERI
EUR,ESP
EUR,ETH
EUR,FIN
EUR,FRA
EUR,GBR
EUR,GHA
EUR,GMB
EUR,GRC
EUR,GRD
EUR,GUY
EUR,HTI
EUR,HUN
EUR,IND
EUR,IRL
EUR,IRN
EUR,IRQ
EUR,ISR
EUR,ITA
EUR,JAM
EUR,JOR
EUR,JPN
EUR,KEN
EUR,KHM
EUR,LBN
EUR,LBY
EUR,LKA
EUR,LSO
EUR,MAR
EUR,MDG
EUR,MEX
EUR,MLI
EUR,MOZ
EUR,MWI
EUR,NER
EUR,NGA
EUR,NIC
EUR,NLD
EUR,NOR
EUR,NPL
EUR,NZL
EUR,PAK
EUR,PER
EUR,PHL
EUR,POL
EUR,PRT
EUR,PSE
EUR,RUS
EUR,SDN
EUR,SEN
EUR,SLB
EUR,SLV
EUR,SOM
EUR,SUR
EUR,SVK
EUR,SWE
EUR,SWZ
EUR,SYR
EUR,TCD
EUR,TGO
EUR,THA
EUR,TUN
EUR,TUR
EUR,TZA
EUR,UGA
EUR,USA
EUR,VEN
EUR,VNM
EUR,WST
EUR,ZAF
EUR,ZMB
EUR,ZWE
FIN,AFG
FIN,AFR
FIN,ARM
FIN,BGD
FIN,CAN
FIN,CHN
FIN,CMR
FIN,CPV
FIN,CYP
FIN,DEU
FIN,ESP
FIN,ETH
FIN,EUR
FIN,FRA
FIN,FSM
FIN,GBR
FIN,IDN
FIN,IRN
FIN,IRQ
FIN,ISR
FIN,ITA
FIN,JOR
FIN,KEN
FIN,KHM
FIN,LBN
FIN,MMR
FIN,MOZ
FIN,MYS
FIN,NAM
FIN,NIC
FIN,NOR
FIN,NPL
FIN,PER
FIN,POL
FIN,PSE
FIN,RUS
FIN,SDN
FIN,SOM
FIN,SWE
FIN,TCD
FIN,TUR
FIN,TZA
FIN,UGA
FIN,UKR
FIN,VNM
FIN,ZAF
FIN,ZMB
FIN,ZWE
FJI,AUS
FJI,EGY
FJI,FRA
FJI,GBR
FJI,IRL
FJI,IRN
FJI,ISR
FJI,ITA
FJI,LBN
FJI,NOR
FJI,NPL
FJI,NZL
FJI,RUS
FJI,SWE
FJI,URY
FJI,USA
FJI,ZWE
FRA,AFG
FRA,AFR
FRA,ARG
FRA,ARM
FRA,AUS
FRA,BDI
FRA,BEL
FRA,BEN
FRA,BFA
FRA,BGD
FRA,BGR
FRA,BLR
FRA,BOL
FRA,BRA
FRA,BRN
FRA,CAF
FRA,CAN
FRA,CHE
FRA,CHL
FRA,CHN
FRA,CIV
FRA,CMR
FRA,COD
FRA,COG
FRA,COL
FRA,COM
FRA,CPV
FRA,CRI
FRA,CUB
FRA,CYP
FRA,DEU
FRA,DJI
FRA,DMA
FRA,DOM
FRA,DZA
FRA,ECU
FRA,EGY
FRA,ESP
FRA,ETH
FRA,EUR
FRA,FIN
FRA,FJI
FRA,GAB
FRA,GBR
FRA,GHA
FRA,GIN
FRA,GMB
FRA,GNB
FRA,GNQ
FRA,GRC
FRA,GRD
FRA,HTI
FRA,IND
FRA,IRL
FRA,IRN
FRA,IRQ
FRA,ISR
FRA,ITA
FRA,JPN
FRA,KHM
FRA,KOR
FRA,KWT
FRA,LAO
FRA,LBN
FRA,LBR
FRA,LBY
FRA,LKA
FRA,MAR
FRA,MDG
FRA,MEA
FRA,MEX
FRA,MLI
FRA,MMR
FRA,MOZ
FRA,MRT
FRA,MUS
FRA,NER
FRA,NGA
FRA,NIC
FRA,NLD
FRA,NOR
FRA,NPL
FRA,NZL
FRA,PAK
FRA,PAN
FRA,PER
FRA,PGS
FRA,PHL
FRA,POL
FRA,PRT
