19790101	ARG	VAT	072
19790101	RUS	GUY	071
19790101	RUS	GUY	071
19790101	RUS	GUY	071
19790101	VAT	ARG	072
19790101	VAT	CHL	072
19790101	VAT	CHL	072
19790101	VNM	VNM	072
19790102	GBR	CAN	073
19790102	PHL	PHL	073
19790103	CUB	ETH	072
19790103	IRN	USA	071
19790103	IRN	USA	071
19790103	IRN	USA	071
19790103	IRQ	BEN	071
19790103	USA	IRN	072
19790103	USA	IRN	072
19790104	CAN	IDN	071
19790104	GBR	USA	071
19790104	IRL	USA	071
19790104	IRL	USA	071
19790104	IRL	USA	071
19790104	LAO	VNM	071
19790104	LAO	VNM	071
19790104	LAO	VNM	071
19790104	THA	KHM	072
19790104	THA	KHM	072
19790104	THA	KHM	072
19790104	THA	KHM	073
19790104	THA	KHM	073
19790105	CHN	KHM	073
19790105	CHN	KHM	073
19790105	VNM	VNM	070
19790106	CHN	SDN	073
19790106	CHN	SDN	073
19790106	ESP	MRT	071
19790106	ESP	MRT	071
19790106	MYS	PHL	075
19790107	EGY	SYR	072
19790107	IRN	CHE	071
19790107	IRN	IRN	071
19790107	KHM	KHM	070
19790107	KHM	KHM	070
19790107	KHM	KHM	070
19790107	RUS	JPN	075
19790108	CUB	CUB	071
19790108	KHM	CHN	073
19790108	KHM	CHN	073
19790108	THA	CHN	073
19790108	THA	CHN	073
19790108	THA	KHM	073
19790109	CIV	KEN	071
19790109	RUS	VNM	073
19790109	RUS	VNM	073
19790109	THA	KHM	075
19790110	CHN	AFR	070
19790110	CHN	AFR	070
19790110	CHN	ZAF	070
19790110	CHN	ZAF	070
19790110	CHN	ZWE	070
19790110	CHN	ZWE	070
19790110	NGA	USA	070
19790110	SAU	USA	070
19790110	THA	KHM	073
19790111	JPN	VNM	070
19790111	KEN	AFR	070
19790111	KEN	AFR	070
19790111	KEN	NAM	070
19790111	KWT	YEM	071
19790111	THA	KHM	073
19790111	THA	KHM	073
19790111	JPN	VNM	070
19790111	JPN	VNM	070
19790111	KWT	YEM	071
19790111	KWT	YEM	071
19790112	AUS	AUS	071
19790112	KHM	KHM	072
19790112	KHM	KHM	072
19790114	NLD	EGY	071
19790114	NLD	EGY	071
19790115	CHN	VNM	072
19790115	CHN	VNM	072
19790115	PRT	USA	070
19790116	CHN	VNM	072
19790116	CHN	VNM	072
19790116	CHN	VNM	072
19790116	CHN	VNM	072
19790116	ETH	ZWE	073
19790116	ETH	ZWE	073
19790116	ETH	ZWE	073
19790116	KHM	SEA	070
19790116	KHM	VNM	071
19790116	KHM	VNM	071
19790116	KHM	VNM	071
19790116	RUS	AFG	072
19790116	RUS	AFG	072
19790116	VNM	SEA	070
19790117	COD	CHN	070
19790117	DEU	KEN	071
19790117	DEU	KEN	071
19790117	DEU	KEN	071
19790117	DNK	VNM	071
19790117	JPN	USA	070
19790117	JPN	USA	070
19790117	VNM	KHM	072
19790117	VNM	VNM	070
19790117	DNK	VNM	071
19790117	VNM	KHM	072
19790118	DEU	TUR	072
19790118	FRA	BGR	075
19790118	FRA	BGR	075
19790118	FRA	RUS	075
19790118	VNM	KHM	073
19790119	RUS	FIN	070
19790120	CHN	VNM	073
19790120	CHN	VNM	073
19790121	VNM	KHM	070
19790121	VNM	KHM	070
19790122	DEU	SOM	073
19790122	DEU	SOM	073
19790122	MAR	MAR	070
19790122	MAR	MAR	070
19790122	UGA	TZA	072
19790122	UGA	TZA	072
19790122	USA	USA	075
19790123	AUS	AUS	073
19790123	AUS	AUS	073
19790123	BEL	ETH	070
19790123	RUS	LAO	070
19790123	RUS	LAO	070
19790124	RUS	RUS	071
19790124	USA	PAK	071
19790126	CHN	VNM	072
19790126	CZE	ETH	073
19790126	ISR	ISR	073
19790126	ISR	VNM	073
19790126	ISR	VNM	075
19790126	ISR	VNM	075
19790126	ISR	VNM	075
19790126	USA	CUB	070
19790126	USA	CUB	070
19790126	USA	VNM	075
19790126	USA	VNM	075
19790126	USA	VNM	075
19790127	CUB	CUB	071
19790128	ETH	GBR	070
19790128	ETH	GBR	070
19790128	IRN	MAR	070
19790128	IRN	MAR	070
19790128	IRN	MAR	070
19790128	JPN	JPN	070
19790128	MYS	PAK	070
19790128	USA	USA	072
19790128	USA	USA	072
19790128	VNM	KHM	072
19790128	AUT	TUR	071
19790128	AUT	TUR	071
19790128	EGY	EGY	070
19790128	MYS	PAK	070
19790128	MYS	PAK	070
19790128	VNM	KHM	072
19790129	CHN	USA	070
19790129	CHN	USA	070
19790129	CHN	USA	070
19790129	DEU	FRA	070
19790129	DEU	FRA	070
19790129	FRA	DEU	072
19790129	UGA	TZA	072
19790129	UGA	TZA	072
19790129	UGA	TZA	072
19790130	CHN	VNM	072
19790130	LAO	KHM	073
19790131	CHN	CHN	070
19790131	CHN	CHN	070
19790131	JPN	CHN	070
19790131	SVK	SVK	073
19790201	DEU	USA	071
19790201	JPN	EGY	071
19790201	JPN	EGY	071
19790202	BEL	BEL	072
19790202	CHN	VNM	072
19790202	CHN	VNM	072
19790202	DEU	PAK	070
19790202	DEU	PAK	070
19790202	RUS	USA	073
19790202	RUS	USA	073
19790202	BEL	BEL	072
19790202	BEL	BEL	072
19790202	BEL	BEL	072
19790203	FJI	IRL	072
19790203	FJI	IRL	072
19790203	FJI	IRL	072
19790203	FRA	EGY	071
19790203	FRA	EGY	071
19790203	JPN	CHN	070
19790203	JPN	CHN	070
19790204	FIN	SDN	071
19790204	FJI	IRL	072
19790204	FJI	IRL	072
19790204	FJI	IRL	072
19790204	FRA	IRL	072
19790204	FRA	IRL	072
19790204	FRA	IRL	072
19790204	JPN	PAK	071
19790204	NGA	IRL	072
19790204	NGA	IRL	072
19790204	NGA	IRL	072
19790204	NOR	IRL	072
19790204	NOR	IRL	072
19790204	NOR	IRL	072
19790204	NPL	IRL	072
19790204	NPL	IRL	072
19790204	NPL	IRL	072
19790204	SEN	IRL	072
19790204	SEN	IRL	072
19790204	SEN	IRL	072
19790204	JPN	PAK	071
19790204	JPN	PAK	071
19790205	CHN	KHM	072
19790205	CHN	KHM	072
19790205	GBR	GBR	071
19790205	GBR	GBR	071
19790205	GBR	GBR	071
19790205	ISR	IRN	075
19790205	PHL	PHL	073
19790205	PHL	PHL	073
19790205	PHL	VNM	070
19790205	PHL	VNM	070
19790205	PHL	VNM	070
19790206	CHN	CHN	070
