20061201	AGO	COD	070
20061201	AUS	AUS	072
20061201	AUS	AUS	071
20061201	AUS	FJI	072
20061201	AUS	FJI	072
20061201	AUS	NGA	070
20061201	AUS	AUS	072
20061201	BRA	HTI	074
20061201	CAF	FRA	072
20061201	CHN	CHN	071
20061201	CHN	CHN	070
20061201	CHN	JPN	072
20061201	CHN	RUS	072
20061201	CHN	RUS	072
20061201	DEU	DEU	074
20061201	DEU	DEU	074
20061201	DEU	GBR	073
20061201	DEU	DEU	074
20061201	DNK	GBR	071
20061201	DNK	NLD	071
20061201	DNK	NLD	071
20061201	EGY	IRN	070
20061201	EST	EUR	070
20061201	EST	EUR	070
20061201	EUR	EUR	071
20061201	EUR	EUR	070
20061201	FRA	EUR	071
20061201	FRA	IRN	075
20061201	FRA	IRN	075
20061201	FRA	IRN	075
20061201	GBR	AUS	070
20061201	GBR	CAN	070
20061201	GBR	CAN	070
20061201	GBR	CHN	071
20061201	GBR	CHN	071
20061201	GBR	CHN	071
20061201	AFR	SDN	070
20061201	AFR	SDN	074
20061201	AFR	SDN	074
20061201	AFR	SDN	074
20061201	ASA	VNM	071
20061201	EUR	AFR	071
20061201	EUR	AFR	071
20061201	EUR	AUT	071
20061201	IRN	AFG	075
20061201	IRN	AFG	075
20061201	IRN	AFG	075
20061201	IRN	AFG	075
20061201	IRN	AFG	075
20061201	IRN	AFG	075
20061201	IRN	IRN	070
20061201	IRQ	IRN	071
20061201	IRQ	IRN	071
20061201	IRQ	IRQ	072
20061201	IRQ	IRQ	072
20061201	IRQ	USA	072
20061201	ISR	PSE	073
20061201	ITA	IRQ	072
20061201	ITA	IRQ	074
20061201	ITA	IRQ	074
20061201	ITA	IRQ	074
20061201	ITA	IRQ	072
20061201	ITA	IRQ	074
20061201	JPN	KHM	070
20061201	JPN	KHM	070
20061201	JPN	KHM	070
20061201	JPN	KHM	070
20061201	JPN	SDN	070
20061201	JPN	SDN	070
20061201	JPN	SDN	070
20061201	JPN	SDN	071
20061201	JPN	SDN	071
20061201	KOR	GBR	072
20061201	KOR	GBR	072
20061201	KOR	IRQ	072
20061201	KOR	IRQ	072
20061201	KOR	USA	072
20061201	LKA	LKA	072
20061201	LKA	LKA	072
20061201	LKA	LKA	072
20061201	LKA	LKA	072
20061201	LTU	LTU	071
20061201	USA	GBR	072
20061201	USA	USA	071
20061201	NAM	GBR	071
20061201	NGA	AFR	070
20061201	NGA	NGA	073
20061201	NGA	SDN	074
20061201	NGA	SDN	074
20061201	USA	SDN	071
20061201	USA	SDN	071
20061201	NLD	EUR	070
20061201	NLD	EUR	070
20061201	NOR	MMR	072
20061201	NOR	MMR	072
20061201	NOR	MMR	072
20061201	NOR	MMR	072
20061201	NOR	MMR	070
20061201	NOR	MMR	070
20061201	PHL	PHL	071
20061201	PHL	PHL	071
20061201	PHL	PHL	071
20061201	PRK	JPN	070
20061201	PRK	JPN	070
20061201	PSE	EGY	072
20061201	PSE	ISR	071
20061201	PSE	ISR	071
20061201	RUS	GBR	071
20061201	RUS	GBR	071
20061201	RUS	GBR	071
20061201	RUS	GBR	070
20061201	SDN	SDN	070
20061201	SDN	SDN	070
20061201	SEA	THA	073
20061201	SEA	THA	073
20061201	SOM	SOM	073
20061201	SOM	SOM	073
20061201	SWE	EUR	070
20061201	SYR	LBN	071
20061201	SYR	LBN	071
20061201	TCD	SDN	073
20061201	TUR	EUR	070
20061201	UGA	SOM	072
20061201	UGA	SOM	072
20061201	UGA	SOM	072
20061201	UGA	UGA	070
20061201	UKR	AFG	072
20061201	UKR	AFG	072
20061201	USA	AFR	071
20061201	USA	EUR	070
20061201	USA	EUR	070
20061201	USA	EUR	070
20061201	USA	EUR	070
20061201	USA	EUR	070
20061201	USA	IRQ	070
20061201	USA	IRQ	071
20061201	USA	IRQ	071
20061201	USA	IRQ	072
20061201	USA	ISR	071
20061201	USA	ISR	071
20061201	USA	ISR	071
20061201	USA	ISR	071
20061201	USA	USA	071
20061201	USA	USA	070
20061201	USA	USA	070
20061201	USA	USA	073
20061201	USA	USA	073
20061201	USA	USA	071
20061201	USA	USA	073
20061201	USA	KEN	070
20061201	USA	SDN	071
20061201	USA	SDN	071
20061201	USA	SDN	071
20061201	USA	USA	071
20061201	USA	BHS	070
20061201	USA	CHE	070
20061201	USA	CHN	070
20061201	USA	CHN	070
20061201	USA	CHN	070
20061201	USA	CUB	070
20061201	USA	CUB	070
20061201	USA	FRA	070
20061201	USA	GBR	070
20061201	USA	GBR	070
20061201	USA	GTM	070
20061201	USA	GTM	070
20061201	USA	IRN	070
20061201	USA	IRN	070
20061201	USA	IRQ	070
20061201	USA	IRQ	070
20061201	USA	IRQ	070
20061201	USA	IRQ	070
20061201	USA	JPN	070
20061201	USA	LKA	070
20061201	USA	MEX	070
20061201	USA	NGA	070
20061201	USA	RUS	070
20061201	USA	RUS	070
20061201	USA	RUS	070
20061201	USA	RUS	070
20061201	USA	SGP	070
20061201	USA	TUR	070
20061201	USA	USA	070
20061201	USA	USA	070
20061201	USA	USA	070
20061201	USA	USA	070
20061201	USA	USA	070
20061201	USA	USA	070
20061201	USA	USA	070
20061201	USA	USA	070
20061201	USA	USA	070
20061201	USA	USA	070
20061201	USA	USA	070
20061201	USA	USA	070
20061201	YEM	SOM	073
20061201	ZWE	ZWE	071
20061202	AFG	CAN	070
20061202	AFG	ASA	071
20061202	CAN	JPN	070
20061202	CAN	JPN	070
20061202	CAN	PHL	070
20061202	CAN	PHL	070
20061202	CAN	PHL	070
20061202	CAN	PHL	070
20061202	CAN	PHL	070
20061202	CHN	CHN	070
20061202	CHN	IRN	070
20061202	CHN	IRN	070
20061202	DEU	AFG	074
20061202	DEU	AFG	074
20061202	DEU	LBN	072
20061202	DEU	LBN	072
20061202	ERI	SOM	074
20061202	ERI	SOM	074
20061202	ETH	UGA	072
20061202	ETH	UGA	072
20061202	ETH	UGA	072
20061202	FRA	CAF	072
20061202	GBR	CAN	071
20061202	GBR	CAN	071
20061202	WST	AFG	072
20061202	IRQ	USA	072
20061202	ITA	ITA	074
20061202	JPN	IRQ	073
20061202	JPN	IRQ	073
20061202	CAN	CAN	071
20061202	USA	GBR	072
20061202	USA	GBR	072
20061202	NGA	USA	071
20061202	NGA	USA	071
20061202	NLD	RUS	071
20061202	RUS	GBR	070
