20120415	BGR	BGR	074
20120415	GRC	GRC	071
20120415	NGA	AFR	075
20130408	QAT	LBY	071
20130408	QAT	LBY	071
20130408	QAT	LBY	071
20130408	QAT	LBY	071
20130408	QAT	LBY	071
20130408	QAT	LBY	071
20130408	RUS	SYR	073
20130408	RUS	SYR	073
20130408	USA	DEU	071
20130415	AFG	CHE	072
20130415	AFG	GBR	072
20130415	AFG	JPN	071
20130415	AFG	AFG	070
20130415	AFR	AFR	070
20130415	AFR	NER	073
20130415	ALB	MKD	070
20130415	ALB	MKD	070
20130415	AUS	CAN	071
20130415	AUS	PAK	071
20130415	AUS	USA	071
20130415	AUS	AUS	071
20130415	AUS	AUS	071
20130415	AUS	USA	071
20130415	AUS	USA	071
20130415	CAN	CAN	071
20130415	CAN	CAN	071
20130415	CAN	CAN	071
20130415	CAN	CHN	071
20130415	CAN	CHN	071
20130415	CAN	FRA	073
20130415	CAN	CAN	071
20130415	CAN	CAN	070
20130415	CAN	CAN	070
20130415	CHN	BRA	070
20130415	CHN	BRA	070
20130415	CHN	ITA	070
20130415	CHN	ITA	070
20130415	CHN	SGP	071
20130415	CHN	USA	071
20130415	CHN	CHN	071
20130415	DEU	CYP	070
20130415	DEU	CYP	073
20130415	DEU	SYR	072
20130415	DEU	SYR	072
20130415	DEU	SYR	073
20130415	DEU	SYR	073
20130415	DEU	SYR	073
20130415	DEU	SYR	073
20130415	DEU	SYR	073
20130415	DNK	AFG	071
20130415	DNK	AFG	071
20130415	DZA	NER	073
20130415	EGY	EGY	071
20130415	EGY	FRA	071
20130415	EGY	USA	071
20130415	EGY	EGY	071
20130415	EGY	EGY	071
20130415	EGY	ARE	070
20130415	ESP	ITA	071
20130415	ESP	USA	071
20130415	EUR	GBR	071
20130415	EUR	IRL	071
20130415	EUR	MLI	074
20130415	EUR	USA	071
20130415	FRA	MRT	071
20130415	FRA	MRT	071
20130415	FRA	SEN	071
20130415	FRA	SEN	071
20130415	FRA	MRT	071
20130415	GBR	GBR	071
20130415	HUN	NOR	070
20130415	HUN	TCD	070
20130415	IDN	BEL	070
20130415	IDN	IDN	070
20130415	EUR	ISR	071
20130415	EUR	PSE	071
20130415	EUR	SYR	070
20130415	EUR	SYR	070
20130415	EUR	SYR	071
20130415	EUR	SYR	070
20130415	EUR	SYR	070
20130415	EUR	SYR	071
20130415	IND	IND	071
20130415	IRN	PAK	071
20130415	IRN	PAK	071
20130415	IRN	PAK	071
20130415	ISR	ISR	071
20130415	ISR	UGA	073
20130415	ISR	ISR	071
20130415	ISR	ISR	071
20130415	ITA	IDN	070
20130415	ITA	IDN	070
20130415	ITA	USA	071
20130415	ITA	USA	071
20130415	ITA	USA	071
20130415	JOR	SYR	073
20130415	JOR	SYR	073
20130415	JOR	SYR	075
20130415	JOR	QAT	070
20130415	JPN	AFR	070
20130415	JPN	AFR	070
20130415	JPN	AFR	070
20130415	JPN	QAT	070
20130415	JPN	QAT	070
20130415	JPN	USA	070
20130415	JPN	USA	070
20130415	JPN	USA	070
20130415	JPN	USA	070
20130415	JPN	USA	070
20130415	JPN	USA	070
20130415	JPN	USA	070
20130415	JPN	USA	070
20130415	JPN	AFR	070
20130415	JPN	AFR	070
20130415	JPN	AFR	070
20130415	JPN	YEM	070
20130415	JPN	YEM	070
20130415	KEN	USA	070
20130415	KGZ	BLR	075
20130415	KGZ	UZB	073
20130415	KGZ	UZB	073
20130415	KOR	PRK	073
20130415	KOR	PRK	073
20130415	KOR	PRK	073
20130415	KOR	PRK	073
20130415	KOR	PRK	073
20130415	KWT	SYR	070
20130415	KWT	SYR	070
20130415	LBR	AFR	071
20130415	LKA	MDV	070
20130415	LKA	MDV	070
20130415	USA	USA	071
20130415	USA	USA	071
20130415	NGA	IRN	071
20130415	NGA	IRN	071
20130415	USA	VEN	071
20130415	USA	VEN	071
20130415	NOR	USA	071
20130415	NZL	NZL	071
20130415	PAK	TUR	071
20130415	PAK	PAK	070
20130415	PAK	PAK	070
20130415	PAK	PAK	070
20130415	PAK	PAK	070
20130415	PSE	ISR	071
20130415	PSE	ISR	071
20130415	PSE	ISR	071
20130415	PSE	PSE	071
20130415	QAT	QAT	071
20130415	QAT	DEU	071
20130415	RUS	EGY	071
20130415	RUS	EGY	071
20130415	RUS	PAK	071
20130415	RUS	PAK	071
20130415	RUS	PAK	071
20130415	RUS	EGY	071
20130415	RUS	EGY	071
20130415	SAU	SYR	071
20130415	SDN	SDN	072
20130415	SLB	SLB	073
20130415	SOM	ITA	071
20130415	SOM	ITA	071
20130415	SOM	USA	070
20130415	SVK	EUR	070
20130415	SVK	EUR	070
20130415	SYR	EUR	073
20130415	TCD	FRA	072
20130415	TCD	FRA	072
20130415	TCD	MLI	072
20130415	TCD	MLI	072
20130415	TCD	MLI	072
20130415	TCD	MLI	072
20130415	TCD	MLI	074
20130415	TCD	NOR	070
20130415	TUR	TUR	073
20130415	TUR	TUR	073
20130415	UGA	CHN	071
20130415	UGA	CHN	071
20130415	UGA	ISR	073
20130415	UKR	POL	071
20130415	USA	ISR	071
20130415	USA	ITA	073
20130415	USA	ITA	073
20130415	USA	ITA	073
20130415	USA	ITA	073
20130415	USA	ITA	073
20130415	USA	ITA	073
20130415	USA	ITA	073
20130415	USA	MDV	070
20130415	USA	MDV	070
20130415	USA	MDV	070
20130415	USA	MDV	070
20130415	USA	USA	071
20130415	USA	USA	071
20130415	USA	USA	071
20130415	USA	PRK	071
20130415	USA	PRK	071
20130415	USA	PRK	071
20130415	USA	PSE	071
20130415	USA	SYR	070
20130415	USA	SYR	070
20130415	USA	USA	071
20130415	USA	USA	071
20130415	USA	USA	071
20130415	USA	USA	071
20130415	USA	USA	071
20130415	USA	USA	070
20130415	USA	USA	070
20130415	USA	USA	070
20130415	USA	USA	070
20130415	USA	USA	070
20130415	USA	USA	071
20130415	USA	USA	070
20130415	USA	USA	070
20130415	USA	USA	070
20130415	USA	USA	073
20130415	USA	USA	071
20130415	USA	GBR	071
20130415	USA	EGY	071
20130415	USA	USA	071
20130415	USA	USA	071
20130415	USA	USA	071
20130415	USA	BEL	070
20130415	USA	DEU	070
20130415	USA	DEU	070
20130415	USA	IDN	070
20130415	USA	KOR	070
20130415	USA	KOR	070
20130415	USA	KOR	070
20130415	USA	MLI	074
20130415	USA	USA	071
20130415	USA	NER	070
20130415	USA	USA	070
20130415	USA	USA	070
20130415	USA	USA	070
20130415	USA	USA	070
20130415	USA	USA	070
20130415	USA	USA	070
20130415	USA	USA	070
20130415	USA	USA	070
20130415	USA	USA	070
20130415	USA	USA	070
20130415	USA	USA	070
20130415	USA	USA	071
20130415	USA	USA	073
20130415	USA	USA	070
20130415	USA	USA	070
20130415	USA	YEM	070
20130415	USA	YEM	070
20130415	VAT	USA	070
20130415	VEN	USA	070
20130415	VEN	VEN	070
20130415	VNM	USA	072
20130415	VNM	USA	072
