20120615	ERI	ERI	073
20120615	GBR	GBR	072
20120615	GBR	GBR	072
20120615	GBR	GBR	075
20120615	GBR	GBR	075
20120615	JPN	USA	070
20120615	SWE	ECU	075
20120615	SWE	ECU	075
20130614	MYS	MYS	071
20130614	MYS	MYS	071
20130614	MYS	MYS	071
20130614	MYS	MYS	071
20130614	NGA	LBR	074
20130614	USA	RUS	070
20130615	AFG	AFG	072
20130615	AFG	AFG	072
20130615	AFG	WST	070
20130615	AFG	USA	071
20130615	AFG	USA	072
20130615	AFG	USA	071
20130615	AFR	SAF	071
20130615	AFR	LBY	071
20130615	AFR	LBY	071
20130615	AFR	SOM	070
20130615	AFR	SOM	070
20130615	AFR	SOM	070
20130615	AFR	ZWE	071
20130615	ARE	ARE	070
20130615	ARE	GBR	070
20130615	ARE	QAT	071
20130615	ARE	QAT	071
20130615	ARE	QAT	071
20130615	ARG	ARG	070
20130615	ARM	AZE	072
20130615	ARM	AZE	072
20130615	ARM	AZE	072
20130615	ARM	USA	071
20130615	AUS	AUS	071
20130615	AUS	AUS	071
20130615	AUS	AUS	073
20130615	AUS	ITA	073
20130615	AUS	USA	071
20130615	AUT	GBR	070
20130615	AUT	GBR	070
20130615	AUT	GBR	070
20130615	AUT	GBR	070
20130615	AUT	GBR	070
20130615	AZE	FRA	070
20130615	AZE	FRA	070
20130615	BEL	AFR	070
20130615	BGD	USA	071
20130615	BGR	EUR	071
20130615	BRA	BRA	070
20130615	CAN	CAN	071
20130615	CAN	ESP	073
20130615	CAN	USA	070
20130615	CAN	USA	070
20130615	CAN	USA	070
20130615	CHN	CHN	071
20130615	CHN	CHN	071
20130615	CHN	CHN	071
20130615	CHN	MEX	071
20130615	CHN	MEX	071
20130615	CHN	MLT	071
20130615	CHN	MLT	071
20130615	COL	ESP	073
20130615	COL	ESP	073
20130615	COL	ESP	073
20130615	COL	ESP	073
20130615	COL	ESP	073
20130615	COL	ESP	073
20130615	COL	ESP	073
20130615	COL	ESP	073
20130615	COL	ESP	073
20130615	COL	ESP	073
20130615	COL	ESP	073
20130615	COL	ESP	073
20130615	COL	ESP	073
20130615	COL	ESP	073
20130615	COL	ESP	073
20130615	COL	ESP	073
20130615	COL	ESP	073
20130615	COL	ESP	073
20130615	COL	ESP	073
20130615	COL	ESP	073
20130615	CYP	AZE	072
20130615	CYP	AZE	072
20130615	CYP	ISR	073
20130615	CYP	ISR	073
20130615	CZE	HUN	070
20130615	CZE	HUN	070
20130615	DEU	AUT	072
20130615	DEU	AUT	072
20130615	DEU	WST	072
20130615	DEU	TJK	071
20130615	DEU	USA	070
20130615	DEU	USA	070
20130615	DEU	DEU	070
20130615	DEU	DEU	071
20130615	DZA	MLI	070
20130615	ECU	GBR	075
20130615	ECU	GBR	075
20130615	EGY	EGY	071
20130615	EGY	EGY	071
20130615	EGY	IRQ	070
20130615	EGY	IRQ	070
20130615	EGY	IRQ	070
20130615	EGY	IRQ	070
20130615	EGY	IRQ	070
20130615	EGY	LBY	070
20130615	EGY	LBY	070
20130615	EGY	LBY	070
20130615	EGY	LBY	070
20130615	EGY	LBY	070
20130615	EGY	SYR	070
20130615	EGY	SYR	070
20130615	EGY	SYR	070
20130615	EGY	SYR	070
20130615	EGY	SYR	070
20130615	EGY	SYR	071
20130615	ESP	COL	073
20130615	ESP	COL	073
20130615	ESP	DEU	071
20130615	ESP	DEU	071
20130615	ESP	ESP	070
20130615	ESP	ESP	073
20130615	ESP	LTU	070
20130615	ESP	LTU	070
20130615	ESP	LTU	070
20130615	ESP	LTU	070
20130615	ESP	LTU	070
20130615	ESP	LTU	070
20130615	ESP	COL	073
20130615	ESP	COL	073
20130615	ESP	COL	073
20130615	EST	RUS	070
20130615	EST	RUS	070
20130615	EST	RUS	070
20130615	ETH	AFR	070
20130615	EUR	GRC	071
20130615	EUR	USA	070
20130615	EUR	USA	071
20130615	FIN	EUR	071
20130615	FIN	EUR	071
20130615	FRA	GBR	070
20130615	FRA	GBR	070
20130615	FRA	GBR	072
20130615	FRA	GBR	072
20130615	FRA	TUR	071
20130615	FRA	TUR	071
20130615	FRA	USA	071
20130615	FRA	USA	071
20130615	FRA	USA	071
20130615	GBR	AFR	071
20130615	GBR	AFR	071
20130615	GBR	AFR	071
20130615	GBR	AFR	071
20130615	GBR	AFR	071
20130615	GBR	AUS	070
20130615	GBR	CYP	070
20130615	GBR	CYP	070
20130615	GBR	ECU	075
20130615	GBR	ECU	075
20130615	GBR	ECU	075
20130615	GBR	IRL	070
20130615	GBR	IRL	070
20130615	GBR	IRL	070
20130615	GBR	NLD	072
20130615	GBR	NLD	072
20130615	GBR	NZL	071
20130615	GBR	NZL	071
20130615	GBR	RUS	071
20130615	GBR	RUS	071
20130615	GBR	TZA	071
20130615	GBR	USA	071
20130615	GBR	USA	071
20130615	GBR	USA	072
20130615	GBR	USA	072
20130615	GBR	HUN	071
20130615	GBR	HUN	071
20130615	GBR	MLI	070
20130615	GBR	GBR	071
20130615	GBR	PRT	071
20130615	GBR	PRT	071
20130615	GBR	PRT	071
20130615	GBR	PRT	071
20130615	GBR	PRT	071
20130615	GBR	GBR	072
20130615	GBR	GBR	072
20130615	GBR	GBR	072
20130615	GBR	GBR	072
20130615	GMB	GMB	071
20130615	GRC	AZE	072
20130615	GRC	AZE	072
20130615	GRC	EUR	073
20130615	GRC	GRC	073
20130615	GTM	BLZ	071
20130615	GTM	BLZ	071
20130615	GTM	USA	071
20130615	GTM	USA	071
20130615	GTM	USA	071
20130615	GTM	USA	071
20130615	GTM	USA	071
20130615	GTM	BLZ	071
20130615	GUY	VEN	070
20130615	HTI	CHN	071
20130615	HTI	USA	073
20130615	HUN	THA	070
20130615	IDN	PHL	073
20130615	EUR	KEN	071
20130615	EUR	KEN	071
20130615	EUR	SYR	070
20130615	EUR	SYR	070
20130615	EUR	SYR	070
20130615	EUR	TJK	070
20130615	WST	TUR	072
20130615	WST	TUR	072
20130615	WST	TUR	072
20130615	WST	TUR	072
20130615	WST	TUR	072
20130615	IND	USA	072
20130615	IND	USA	072
20130615	IRL	GBR	071
20130615	IRL	GBR	071
20130615	IRL	IRL	073
20130615	IRL	IRL	073
20130615	IRL	JPN	070
20130615	IRN	IRN	071
20130615	IRN	IRN	071
20130615	IRN	SYR	072
20130615	IRN	SYR	072
20130615	IRN	SYR	072
20130615	IRN	SYR	072
20130615	IRN	SYR	072
20130615	IRN	SYR	072
20130615	IRQ	IRN	075
20130615	IRQ	SYR	075
20130615	IRQ	SYR	075
20130615	IRQ	USA	070
20130615	IRQ	USA	070
20130615	IRQ	USA	070
20130615	IRQ	EGY	070
20130615	IRQ	EGY	070
20130615	IRQ	EGY	070
20130615	IRQ	EGY	070
20130615	IRQ	EGY	070
20130615	IRQ	LBY	070
20130615	IRQ	LBY	070
20130615	IRQ	LBY	070
20130615	IRQ	LBY	070
20130615	IRQ	LBY	070
20130615	IRQ	SYR	070
20130615	IRQ	SYR	070
20130615	IRQ	SYR	070
20130615	IRQ	SYR	070
20130615	IRQ	SYR	070
20130615	ISL	GBR	070
20130615	ISL	GBR	070
20130615	ISL	GBR	070
20130615	ISR	CYP	073
20130615	ISR	IRN	070
20130615	ISR	IRN	070
20130615	ISR	PHL	073
20130615	ITA	AFG	073
20130615	ITA	AFG	073
20130615	ITA	AFG	073
20130615	ITA	AFG	073
20130615	ITA	EGY	073
20130615	ITA	EGY	073
20130615	ITA	EGY	073
20130615	ITA	EGY	073
20130615	ITA	EGY	073
20130615	ITA	HUN	071
20130615	ITA	ITA	070
20130615	ITA	SYR	073
20130615	ITA	SYR	073
20130615	ITA	USA	071
20130615	JOR	JOR	070
20130615	JOR	BHR	070
20130615	JOR	IRN	071
20130615	JPN	JPN	071
20130615	JPN	JPN	071
20130615	JPN	MMR	070
20130615	JPN	SYR	072
20130615	JPN	MEX	071
20130615	KAZ	ASA	071
20130615	KAZ	ASA	071
20130615	KEN	KEN	070
20130615	KEN	KEN	070
20130615	KEN	SOM	072
20130615	KEN	SOM	072
20130615	KEN	SOM	072
20130615	KEN	SOM	072
20130615	KOR	USA	070
20130615	KWT	IRQ	070
20130615	LAO	LAO	070
20130615	LAO	LAO	070
20130615	LBN	ISR	072
20130615	LBN	ISR	072
20130615	LBN	ISR	073
20130615	LBN	USA	070
20130615	LBN	USA	070
20130615	LBN	USA	070
20130615	LBY	AFR	071
20130615	LBY	EGY	070
20130615	LBY	EGY	070
20130615	LBY	EGY	070
20130615	LBY	EGY	070
20130615	LBY	EGY	070
20130615	LBY	IRQ	070
20130615	LBY	IRQ	070
20130615	LBY	IRQ	070
20130615	LBY	IRQ	070
20130615	LBY	IRQ	070
20130615	LBY	QAT	071
20130615	LBY	QAT	071
20130615	LBY	QAT	071
20130615	LBY	SYR	070
20130615	LBY	SYR	070
20130615	LBY	SYR	070
20130615	LBY	SYR	070
20130615	LBY	SYR	070
20130615	LBY	USA	070
20130615	LBY	USA	070
20130615	LBY	USA	070
20130615	LBY	LBY	071
20130615	LBY	LBY	071
20130615	LBY	LBY	070
20130615	LKA	LKA	073
20130615	LKA	LKA	073
20130615	LKA	LKA	073
20130615	MAR	USA	070
20130615	MAR	USA	070
20130615	MAR	USA	070
20130615	MCO	GBR	073
20130615	MDA	AZE	072
20130615	MDA	AZE	072
20130615	MEX	MEX	071
20130615	MLT	CHN	071
20130615	MMR	BRA	070
20130615	MMR	MMR	073
20130615	MMR	PRK	071
20130615	MMR	PRK	071
20130615	MMR	MMR	071
20130615	BRA	BRA	071
20130615	CAN	CAN	071
20130615	USA	POL	071
20130615	MYS	MYS	071
20130615	MYS	MYS	071
20130615	MYS	MYS	071
20130615	MYS	MYS	071
20130615	MYS	MYS	070
20130615	NER	MLI	072
20130615	NER	MLI	072
20130615	NGA	AFR	073
20130615	NGA	IRN	070
20130615	NGA	IRN	070
20130615	NGA	SYR	072
20130615	NGA	NGA	070
20130615	NOR	CAN	070
20130615	NOR	CAN	070
20130615	NOR	CAN	070
20130615	NOR	CRI	071
20130615	NOR	CRI	071
20130615	NOR	USA	071
20130615	NZL	CAN	072
20130615	OMN	USA	070
20130615	OMN	USA	070
20130615	PAK	AFG	070
20130615	PER	ESP	070
20130615	PHL	PHL	073
20130615	PHL	PHL	073
20130615	POL	USA	071
20130615	POL	USA	071
20130615	POL	USA	071
20130615	POL	USA	071
20130615	POL	USA	071
20130615	POL	USA	071
20130615	POL	USA	071
20130615	POL	USA	070
20130615	POL	USA	070
20130615	PRT	GBR	071
20130615	RUS	RUS	070
20130615	RUS	RUS	070
20130615	RUS	RUS	070
20130615	SAU	IRN	071
20130615	SAU	TUR	071
20130615	SAU	TUR	071
20130615	SAU	TUR	071
20130615	SRB	SRB	071
20130615	SDN	AFR	070
20130615	SDN	SWE	070
20130615	SGP	CYM	071
20130615	SLE	SOM	072
20130615	SOM	AFR	070
20130615	SOM	AFR	073
20130615	SOM	AFR	073
20130615	SWE	BGD	071
20130615	SWE	ISR	070
20130615	SWE	ISR	070
20130615	SWE	PSE	070
20130615	SWE	SDN	070
20130615	SYR	AFG	071
20130615	SYR	AFG	071
20130615	SYR	ARM	071
20130615	SYR	EGY	070
20130615	SYR	EGY	070
20130615	SYR	EGY	070
20130615	SYR	EGY	070
20130615	SYR	EGY	070
20130615	SYR	IRN	072
20130615	SYR	IRQ	070
20130615	SYR	IRQ	070
20130615	SYR	IRQ	070
20130615	SYR	IRQ	070
20130615	SYR	IRQ	070
20130615	SYR	JOR	071
20130615	SYR	JOR	072
20130615	SYR	JOR	072
20130615	SYR	JOR	072
20130615	SYR	JOR	072
20130615	SYR	JOR	072
20130615	SYR	LBY	070
20130615	SYR	LBY	070
20130615	SYR	LBY	070
20130615	SYR	LBY	070
20130615	SYR	LBY	070
20130615	SYR	SYR	070
20130615	SYR	SYR	070
20130615	SYR	SYR	072
20130615	SYR	SYR	075
20130615	SYR	SYR	075
20130615	SYR	USA	072
20130615	SYR	USA	072
20130615	SYR	USA	072
20130615	THA	IRL	070
20130615	THA	IRL	070
20130615	TJK	AZE	072
20130615	TJK	AZE	072
20130615	TUR	AZE	072
20130615	TUR	AZE	072
20130615	TUR	CYP	070
20130615	TUR	CYP	070
20130615	TUR	CYP	070
20130615	TUR	CYP	070
20130615	TUR	POL	071
20130615	TUR	SYR	072
20130615	TUR	SYR	072
20130615	TUR	USA	070
20130615	TUR	USA	070
20130615	TUR	USA	070
20130615	TUR	USA	070
20130615	TUR	USA	070
20130615	TUR	USA	073
20130615	TUR	USA	073
20130615	TUR	USA	073
20130615	TUR	SYR	072
20130615	UGA	AUS	070
20130615	UGA	TZA	070
20130615	UGA	TZA	070
20130615	UGA	UGA	071
20130615	UKR	HUN	071
20130615	UKR	HUN	071
20130615	UKR	EUR	070
20130615	UKR	EUR	070
20130615	UKR	POL	071
20130615	UKR	UKR	070
20130615	UKR	USA	070
20130615	UKR	USA	070
20130615	UKR	USA	070
20130615	UKR	USA	070
20130615	USA	AZE	072
20130615	USA	AZE	072
20130615	USA	BGD	071
20130615	USA	CHN	070
20130615	USA	CHN	070
