20030726	MAR	MAR	073
20120723	ECU	GBR	075
20120723	EUR	CHN	071
20120723	LBY	LBY	072
20120723	RUS	KGZ	071
20130623	USA	SYR	070
20130623	USA	SYR	070
20130623	USA	SYR	070
20130623	USA	SYR	070
20130623	USA	SYR	070
20130623	USA	SYR	070
20130623	USA	SYR	070
20130623	USA	SYR	070
20130623	USA	SYR	070
20130716	AFR	AFR	071
20130716	EUR	ESP	070
20130716	EUR	ISR	071
20130716	EUR	ISR	071
20130716	ISR	ISR	071
20130716	USA	USA	073
20130716	USA	USA	073
20130716	USA	USA	073
20130716	ZAF	AFR	071
20130716	ZAF	AFR	071
20130716	ZAF	AFR	071
20130716	ZAF	AFR	071
20130722	USA	IRL	071
20130723	AFG	AFG	071
20130723	AFG	AFG	072
20130723	AFG	AFG	072
20130723	AFG	WST	071
20130723	AFG	WST	072
20130723	AFG	USA	072
20130723	AFR	DEU	071
20130723	AFR	JPN	070
20130723	AFR	FIN	070
20130723	AFR	FIN	070
20130723	AFR	NGA	070
20130723	AFR	TZA	071
20130723	AFR	TZA	071
20130723	AFR	USA	072
20130723	AFR	ZAF	071
20130723	AFR	ZAF	072
20130723	AFR	ZAF	073
20130723	AFR	AFR	071
20130723	ALB	MKD	070
20130723	ALB	MKD	070
20130723	ARE	ARE	071
20130723	ARE	ARE	071
20130723	ARM	RUS	071
20130723	ARM	RUS	071
20130723	ARM	USA	070
20130723	ARM	USA	070
20130723	ARM	RUS	071
20130723	AUS	AUS	073
20130723	AUS	AUS	073
20130723	AUS	AUS	073
20130723	AUS	CHN	071
20130723	AUS	ISR	071
20130723	AUS	ISR	071
20130723	AUS	ISR	071
20130723	AUS	JPN	071
20130723	AUS	AUS	071
20130723	AUS	AUS	071
20130723	AUS	PNG	075
20130723	BEL	GRC	073
20130723	BGD	IRQ	073
20130723	BGD	IRQ	073
20130723	BGD	USA	071
20130723	BGR	ITA	070
20130723	BLR	EST	070
20130723	BLR	EST	070
20130723	BOL	NIC	075
20130723	BOL	NIC	075
20130723	BOL	NIC	075
20130723	BOL	NIC	075
20130723	BOL	RUS	075
20130723	BOL	RUS	075
20130723	BOL	RUS	075
20130723	BOL	RUS	075
20130723	BOL	RUS	075
20130723	BOL	USA	075
20130723	BOL	USA	075
20130723	BOL	USA	075
20130723	BOL	USA	075
20130723	BOL	USA	075
20130723	BOL	USA	075
20130723	BOL	VEN	075
20130723	BOL	VEN	075
20130723	BOL	VEN	075
20130723	BOL	VEN	075
20130723	BWA	BWA	070
20130723	CAN	CAN	070
20130723	CAN	CAN	071
20130723	CAN	WST	074
20130723	CAN	CAN	071
20130723	CAN	CAN	070
20130723	CAN	CAN	071
20130723	CAN	CAN	071
20130723	CAN	CAN	071
20130723	CAN	CAN	073
20130723	CHE	CHN	071
20130723	CHE	CHN	071
20130723	CHE	CHN	071
20130723	CHE	USA	070
20130723	CHE	USA	070
20130723	CHN	BLR	071
20130723	CHN	BRA	071
20130723	CHN	BRA	071
20130723	CHN	CHE	071
20130723	CHN	CHE	071
20130723	CHN	CHE	071
20130723	CHN	CHE	071
20130723	CHN	CHE	071
20130723	CHN	CHN	071
20130723	CHN	CHN	071
20130723	CHN	CHN	073
20130723	CHN	CHN	072
20130723	CHN	CRI	071
20130723	CHN	GBR	071
20130723	CHN	HUN	071
20130723	CHN	IRL	073
20130723	CHN	JPN	071
20130723	CHN	PRK	070
20130723	CHN	USA	071
20130723	CHN	USA	071
20130723	CHN	CHN	071
20130723	CHN	CHN	071
20130723	CHN	DEU	071
20130723	CHN	CHN	071
20130723	CHN	CHN	071
20130723	CHN	CHN	071
20130723	CHN	CHN	073
20130723	CHN	CHN	073
20130723	CHN	CHN	073
20130723	CHN	CHN	073
20130723	CHN	CRI	071
20130723	CHN	USA	071
20130723	CHN	CHN	073
20130723	CMR	AFR	073
20130723	CMR	AFR	073
20130723	CMR	AFR	073
20130723	CMR	AFR	073
20130723	COD	CAF	070
20130723	COD	CAF	070
20130723	COD	CAF	070
20130723	COD	CAF	070
20130723	COG	COD	070
20130723	COG	TZA	074
20130723	COG	COD	070
20130723	COL	USA	073
20130723	CUB	USA	071
20130723	CUB	USA	071
20130723	CUB	USA	071
20130723	CYP	GRC	071
20130723	CYP	EUR	071
20130723	DEU	AUT	071
20130723	DEU	CZE	071
20130723	DEU	ESP	071
20130723	DEU	ESP	071
20130723	DEU	EUR	071
20130723	DEU	EUR	071
20130723	DEU	DEU	071
20130723	DEU	EUR	071
20130723	DEU	DEU	075
20130723	DEU	DEU	075
20130723	DNK	PAK	073
20130723	DZA	AFR	070
20130723	EGY	SYR	070
20130723	EGY	SYR	070
20130723	ESP	IRL	071
20130723	ESP	ITA	071
20130723	ESP	ITA	071
20130723	ESP	PHL	071
20130723	ESP	SLV	071
20130723	ESP	USA	070
20130723	ESP	USA	070
20130723	ESP	USA	075
20130723	ESP	USA	070
20130723	EST	BEL	071
20130723	EST	DEU	071
20130723	ETH	CHN	071
20130723	ETH	SOM	072
20130723	EUR	CHE	071
20130723	EUR	CHE	071
20130723	EUR	CHE	071
20130723	EUR	EUR	071
20130723	EUR	EUR	071
20130723	EUR	EUR	071
20130723	EUR	EUR	071
20130723	EUR	IRL	071
20130723	EUR	ISL	071
20130723	EUR	ISL	071
20130723	EUR	ISL	071
20130723	EUR	NOR	071
20130723	EUR	NOR	071
20130723	EUR	COL	071
20130723	EUR	COL	071
20130723	EUR	EUR	071
20130723	EUR	EUR	071
20130723	EUR	EUR	071
20130723	EUR	EUR	071
20130723	FRA	IRL	071
20130723	FRA	IRL	071
20130723	FRA	MLI	074
20130723	FRA	MLI	074
20130723	FRA	MLI	074
20130723	FRA	USA	071
20130723	GBR	AUS	070
20130723	GBR	CAN	073
20130723	GBR	CHN	073
20130723	GBR	CMR	071
20130723	GBR	CMR	071
20130723	GBR	ESP	075
20130723	GBR	ESP	075
20130723	GBR	EUR	070
20130723	GBR	EUR	071
20130723	GBR	EUR	071
20130723	GBR	FIN	071
20130723	GBR	GBR	071
20130723	GBR	GBR	073
20130723	GBR	IRL	071
20130723	GBR	IRL	071
20130723	GBR	LBN	071
20130723	GBR	LBN	071
20130723	GBR	LBN	072
20130723	GBR	LBN	072
20130723	GBR	LBN	071
20130723	GBR	LBN	071
20130723	GBR	LBN	072
20130723	GBR	LBN	072
20130723	GBR	NLD	071
20130723	GBR	NLD	071
20130723	GBR	NOR	071
20130723	GBR	NPL	071
20130723	GBR	SYR	071
20130723	GBR	SYR	071
20130723	GBR	SYR	071
20130723	GBR	USA	070
20130723	GBR	USA	070
20130723	GBR	USA	070
20130723	GBR	USA	070
20130723	GBR	USA	070
20130723	GBR	USA	070
20130723	GBR	USA	070
20130723	GBR	USA	071
20130723	GBR	CAN	073
20130723	GBR	GBR	071
20130723	GBR	GBR	070
20130723	GBR	GBR	073
20130723	GHA	AFR	071
20130723	GRC	GRC	071
20130723	GRC	GRC	071
20130723	HRV	EUR	071
20130723	HRV	MDG	071
20130723	HRV	MDG	071
20130723	HUN	HUN	070
20130723	HUN	HUN	070
20130723	IDN	AUS	073
20130723	IDN	AUS	073
20130723	IDN	AUS	073
20130723	IDN	IDN	071
20130723	IDN	IDN	073
20130723	IDN	IDN	073
20130723	AFR	AFR	071
20130723	EUR	BEL	072
20130723	EUR	ITA	071
20130723	EUR	ITA	071
20130723	EUR	LBN	070
