20120904	MMR	MMR	070
20120904	NLD	EUR	071
20120904	USA	USA	070
20120904	USA	USA	070
20120904	USA	USA	073
20120904	ZWE	ZWE	070
20130805	RUS	CUB	075
20130805	RUS	CUB	075
20130805	RUS	USA	075
20130805	USA	IRL	075
20130805	USA	RUS	075
20130805	USA	RUS	075
20130805	USA	USA	075
20130805	USA	USA	075
20130805	USA	USA	075
20130805	USA	USA	075
20130828	LTU	RUS	072
20130828	LTU	RUS	072
20130828	TUR	SYR	073
20130828	TUR	SYR	073
20130903	ZWE	ZWE	071
20130904	AFG	AFG	071
20130904	AFG	SVK	071
20130904	AFG	USA	071
20130904	AFR	BDI	071
20130904	AFR	BDI	071
20130904	AFR	CAF	071
20130904	AFR	CAF	071
20130904	AFR	CIV	071
20130904	AFR	COD	071
20130904	AFR	GIN	071
20130904	AFR	GIN	071
20130904	AFR	LBR	071
20130904	AFR	LBR	071
20130904	AFR	USA	073
20130904	AFR	SLE	071
20130904	AFR	SLE	071
20130904	AFR	SSD	071
20130904	AFR	SSD	071
20130904	AFR	USA	070
20130904	AFR	USA	070
20130904	AFR	USA	070
20130904	AFR	USA	070
20130904	AFR	USA	073
20130904	AFR	USA	071
20130904	AFR	ZAF	073
20130904	AFR	ZAF	070
20130904	ALB	EUR	070
20130904	ALB	EUR	070
20130904	ALB	IRN	075
20130904	ALB	IRN	075
20130904	ARE	DEU	070
20130904	ARE	DEU	070
20130904	ARE	DEU	070
20130904	ARE	EUR	070
20130904	ARE	KEN	070
20130904	ARE	KEN	070
20130904	ARE	KEN	070
20130904	ARE	QAT	071
20130904	ARE	QAT	071
20130904	ARE	QAT	071
20130904	ARM	AZE	070
20130904	ARM	AZE	070
20130904	ARM	RUS	070
20130904	ARM	RUS	071
20130904	ARM	RUS	071
20130904	ARM	TUR	070
20130904	ARM	TUR	070
20130904	ARM	TUR	070
20130904	ARM	TUR	070
20130904	ARM	TUR	070
20130904	ARM	TUR	070
20130904	ARM	TUR	070
20130904	ARM	TUR	070
20130904	AUS	AUS	071
20130904	AUS	AUS	071
20130904	AUS	AUS	071
20130904	AUS	AUS	071
20130904	AUS	CAN	071
20130904	AUS	IDN	071
20130904	AUS	IDN	071
20130904	AUS	KHM	071
20130904	AUS	KHM	071
20130904	AUS	NZL	070
20130904	AUS	NZL	070
20130904	AUS	NZL	071
20130904	AUS	NZL	071
20130904	AUS	NZL	071
20130904	AUS	NZL	071
20130904	AUS	SYR	072
20130904	AUS	SYR	072
20130904	AUS	USA	071
20130904	AUS	AUS	070
20130904	AUS	AUS	071
20130904	AUT	EGY	070
20130904	AUT	EGY	070
20130904	AZE	AFG	071
20130904	AZE	AFG	071
20130904	AZE	RUS	071
20130904	AZE	RUS	071
20130904	AZE	RUS	071
20130904	AZE	RUS	071
20130904	AZE	AFG	071
20130904	AZE	AFG	071
20130904	AZE	AZE	070
20130904	BDI	CAF	071
20130904	BGR	BGR	071
20130904	BGR	BGR	071
20130904	BLR	ARM	070
20130904	BLR	ARM	070
20130904	BLR	CHN	070
20130904	BLR	RUS	070
20130904	BLR	RUS	070
20130904	BLR	RUS	073
20130904	BLR	RUS	073
20130904	BLR	RUS	073
20130904	BOL	EUR	071
20130904	BRA	BRA	071
20130904	BRA	BRA	070
20130904	BRA	BRA	070
20130904	BRA	PRY	071
20130904	BRA	PRY	071
20130904	BRA	PRY	071
20130904	BRA	AGO	071
20130904	BRA	BRA	071
20130904	BRA	BRA	071
20130904	BRA	IRN	075
20130904	CAF	USA	073
20130904	CAN	AFG	070
20130904	CAN	AFG	070
20130904	CAN	AFG	070
20130904	CAN	AFG	070
20130904	CAN	AFG	070
20130904	CAN	AFG	070
20130904	CAN	AFG	072
20130904	CAN	AFG	072
20130904	CAN	AFG	072
20130904	CAN	AFG	072
20130904	CAN	AFG	072
20130904	CAN	AFG	072
20130904	CAN	AFG	072
20130904	CAN	AFG	072
20130904	CAN	AFG	072
20130904	CAN	CAN	071
20130904	CAN	CAN	071
20130904	CAN	CAN	071
20130904	CAN	DEU	071
20130904	CAN	DEU	071
20130904	CAN	FRA	071
20130904	CAN	EUR	070
20130904	CAN	EUR	070
20130904	CAN	KOR	071
20130904	CAN	MYS	070
20130904	CAN	MYS	070
20130904	CAN	NPL	075
20130904	CAN	NPL	075
20130904	CAN	USA	070
20130904	CAN	USA	070
20130904	CAN	USA	070
20130904	CAN	USA	070
20130904	CAN	USA	070
20130904	CAN	USA	070
20130904	CAN	USA	071
20130904	CAN	USA	071
20130904	CAN	USA	071
20130904	CAN	USA	071
20130904	CAN	USA	071
20130904	CHE	CHE	071
20130904	CHE	CHE	071
20130904	CHE	CHE	071
20130904	CHE	EGY	070
20130904	CHE	EGY	070
20130904	CHE	EGY	071
20130904	CHE	EGY	071
20130904	CHE	EGY	071
20130904	CHE	EGY	071
20130904	CHE	OMN	070
20130904	CHE	SAU	070
20130904	CHE	USA	070
20130904	CHE	USA	070
20130904	CHE	USA	070
20130904	CHE	USA	070
20130904	CHN	AFR	071
20130904	CHN	AFR	071
20130904	CHN	BHS	070
20130904	CHN	CHN	073
