20130325	KOR	KOR	070
20130325	SYR	EUR	073
20130325	SYR	EUR	073
20130325	TCD	SDN	073
20130325	TCD	SDN	073
20130325	USA	BRA	071
20130325	USA	USA	071
20130325	USA	USA	071
20130325	USA	USA	071
20140223	RUS	UKR	072
20140223	RUS	UKR	072
20140223	RUS	UKR	072
20140223	RUS	UKR	072
20140318	AUS	DNK	071
20140318	AUS	DNK	071
20140318	AUS	DNK	071
20140318	CHE	DNK	071
20140318	CHE	DNK	071
20140318	CHE	DNK	071
20140318	DEU	DNK	071
20140318	DEU	DNK	071
20140318	DEU	DNK	071
20140318	GBR	GBR	071
20140318	GBR	GBR	071
20140318	ITA	AFR	075
20140318	ITA	AFR	075
20140318	ITA	AFR	075
20140318	ITA	AFR	075
20140318	NOR	DNK	071
20140318	NOR	DNK	071
20140318	NOR	DNK	071
20140318	POL	USA	072
20140318	POL	USA	072
20140318	RUS	RUS	072
20140318	UKR	RUS	072
20140318	UKR	RUS	072
20140318	USA	COD	071
20140318	USA	USA	070
20140318	USA	USA	070
20140324	JPN	UKR	071
20140324	JPN	UKR	071
20140324	JPN	UKR	071
20140324	JPN	UKR	073
20140324	JPN	UKR	073
20140324	JPN	UKR	073
20140324	KWT	QAT	071
20140324	KWT	QAT	071
20140324	CHE	CHN	071
20140324	SYR	TUR	070
20140324	SYR	TUR	070
20140324	SYR	TUR	073
20140324	SYR	TUR	073
20140324	SYR	TUR	073
20140325	AFG	AFG	071
20140325	AFG	AFG	070
20140325	AFG	AFG	070
20140325	AFG	USA	074
20140325	AFR	COD	070
20140325	AFR	COD	070
20140325	AFR	COD	070
20140325	AFR	SDN	074
20140325	AFR	SDN	074
20140325	AFR	TUR	071
20140325	AFR	TUR	071
20140325	AFR	ZAF	071
20140325	AGO	MOZ	070
20140325	AGO	AFR	074
20140325	ALB	USA	071
20140325	ALB	USA	071
20140325	ARE	AFR	071
20140325	ARE	FRA	071
20140325	ARE	PAK	070
20140325	ARE	PHL	071
20140325	ARE	ZAF	071
20140325	ARG	SYR	071
20140325	ARG	SYR	071
20140325	ARG	SYR	071
20140325	ARM	SYR	072
20140325	ARM	SYR	072
20140325	ARM	SYR	072
20140325	ARM	SYR	072
20140325	ARM	SYR	072
20140325	ARM	SYR	072
20140325	ARM	USA	070
20140325	AUS	AUS	073
20140325	AUS	BGD	073
20140325	AUS	CHE	070
20140325	AUS	CHN	070
20140325	AUS	CHN	070
20140325	AUS	CHN	071
20140325	AUS	MYS	070
20140325	AUS	MYS	070
20140325	AUS	NZL	070
20140325	AUS	NZL	070
20140325	AUS	NZL	073
20140325	AUS	NZL	073
20140325	AUS	SLB	073
20140325	AUS	SLB	073
20140325	AUS	USA	070
20140325	AUS	AUS	071
20140325	AUS	AUS	070
20140325	AUS	AUS	071
20140325	AUS	MYS	070
20140325	BEL	CAN	070
20140325	BEL	DEU	071
20140325	BEL	DEU	071
20140325	BGD	BGD	070
20140325	BGD	GBR	070
20140325	BGD	LKA	070
20140325	BGD	LKA	070
20140325	BGR	BGR	071
20140325	BGR	CHN	070
20140325	BGR	CHN	070
20140325	BGR	CHN	070
20140325	BLR	EUR	072
20140325	BLR	EUR	072
20140325	BOL	BOL	070
20140325	BOL	BOL	071
20140325	BRA	GUY	071
20140325	BRA	USA	070
20140325	BRA	GUY	071
20140325	BRA	BRA	072
20140325	BTN	BEL	070
20140325	BTN	BEL	070
20140325	BWA	KEN	072
20140325	BWA	KEN	072
20140325	CAN	CAN	071
20140325	CAN	CAN	071
20140325	CAN	CHN	071
20140325	CAN	CUB	071
20140325	CAN	CUB	071
20140325	CAN	CUB	071
20140325	CAN	CUB	071
20140325	CAN	CUB	071
20140325	CAN	CUB	071
20140325	CAN	CUB	071
20140325	CAN	CUB	073
20140325	CAN	CUB	073
20140325	CAN	CUB	073
20140325	CAN	CUB	075
20140325	CAN	CUB	075
20140325	CAN	ISR	073
20140325	CAN	USA	071
20140325	CAN	USA	071
20140325	CAN	NZL	075
20140325	CAN	NZL	075
20140325	CAN	NZL	075
20140325	CAN	USA	075
20140325	CAN	USA	075
20140325	CAN	ZAF	071
20140325	CAN	ZAF	071
20140325	CAN	CAN	071
20140325	CAN	CAN	071
20140325	CAN	ISR	073
20140325	CAN	CAN	071
20140325	CAN	CAN	071
20140325	CAN	CAN	071
20140325	CHE	AUS	070
20140325	CHL	CHL	071
20140325	CHN	AUS	070
20140325	CHN	AUS	070
20140325	CHN	AUS	070
20140325	CHN	AUS	070
20140325	CHN	AUS	070
20140325	CHN	AUS	070
20140325	CHN	AUS	070
20140325	CHN	AUS	070
20140325	CHN	AUS	070
20140325	CHN	AUS	070
20140325	CHN	AUS	070
20140325	CHN	AUS	070
20140325	CHN	AUS	070
20140325	CHN	AUS	070
20140325	CHN	AUS	070
20140325	CHN	AUS	073
20140325	CHN	AUS	073
20140325	CHN	CHN	072
20140325	CHN	CHN	071
20140325	CHN	CHN	072
20140325	CHN	CHN	072
20140325	CHN	EUR	070
20140325	CHN	EUR	070
20140325	CHN	EUR	072
20140325	CHN	FRA	073
20140325	CHN	FRA	073
20140325	CHN	FRA	073
20140325	CHN	MYS	070
20140325	CHN	USA	070
20140325	CHN	PAK	073
20140325	CHN	PAK	073
20140325	CHN	PHL	071
20140325	CHN	PHL	071
20140325	CHN	UKR	071
20140325	CHN	USA	071
20140325	CHN	USA	071
20140325	CHN	CHN	071
20140325	CHN	EUR	072
20140325	CHN	CHN	072
20140325	CHN	USA	070
20140325	CMR	DEU	071
20140325	COD	COG	071
20140325	COD	COG	071
20140325	COD	COG	071
20140325	COG	SSD	072
20140325	COG	SSD	072
20140325	COG	SSD	072
20140325	COL	PER	071
20140325	COL	USA	073
20140325	COL	USA	073
20140325	COL	USA	073
20140325	COL	USA	073
20140325	COL	USA	073
20140325	COL	USA	073
20140325	CUB	CAN	073
20140325	CUB	JAM	070
20140325	CZE	CZE	070
20140325	CZE	CZE	073
20140325	CZE	CZE	073
20140325	CZE	CZE	070
20140325	DEU	CHE	071
20140325	DEU	DEU	070
20140325	DEU	DEU	071
20140325	DEU	DEU	071
20140325	DEU	USA	070
20140325	DEU	USA	070
20140325	DEU	USA	070
20140325	DMA	JAM	070
20140325	DNK	CAF	073
20140325	DNK	CAF	073
20140325	ECU	PER	071
20140325	ECU	PER	071
20140325	ECU	PER	071
20140325	EGY	EGY	071
20140325	EGY	PSE	071
20140325	EGY	PSE	071
20140325	EGY	SSD	072
20140325	EGY	SSD	072
20140325	EGY	SYR	073
20140325	EGY	SYR	073
20140325	EGY	USA	073
20140325	EGY	USA	073
20140325	ERI	ERI	070
20140325	ERI	ERI	070
20140325	ESP	USA	073
20140325	ETH	AFR	070
20140325	ETH	AFR	070
20140325	ETH	ETH	071
20140325	ETH	ETH	071
20140325	ETH	SDN	075
20140325	ETH	SDN	075
20140325	ETH	SDN	073
20140325	ETH	SDN	073
20140325	ETH	SSD	075
20140325	ETH	SSD	073
20140325	EUR	AFG	070
20140325	EUR	AFR	071
20140325	EUR	EUR	071
20140325	EUR	EUR	071
20140325	EUR	EUR	071
20140325	EUR	KEN	071
20140325	EUR	LBY	072
20140325	EUR	LBY	072
20140325	EUR	LBY	072
20140325	EUR	LBY	072
20140325	EUR	TUR	071
20140325	EUR	USA	071
20140325	EUR	USA	071
20140325	EUR	USA	073
20140325	EUR	USA	073
20140325	EUR	ETH	071
20140325	FIN	CAF	071
20140325	FIN	CAF	071
20140325	FIN	SSD	071
20140325	FIN	SSD	071
20140325	FIN	SYR	071
20140325	FRA	FRA	070
20140325	FRA	FRA	070
20140325	FRA	FRA	073
20140325	FRA	GBR	070
20140325	FRA	GBR	070
20140325	FRA	AFR	074
20140325	FRA	AFR	074
20140325	FRA	AFR	074
20140325	FRA	LBY	070
20140325	FRA	LBY	070
20140325	FRA	LBY	070
20140325	FRA	LBY	070
20140325	FRA	MMR	071
20140325	FRA	NOR	070
20140325	FRA	NOR	070
20140325	FRA	NOR	070
20140325	FRA	POL	070
20140325	FRA	POL	070
20140325	FRA	POL	070
20140325	FRA	USA	070
20140325	FRA	USA	070
20140325	FRA	USA	070
20140325	FRA	USA	073
20140325	FRA	VNM	071
20140325	FSM	MKD	070
20140325	GBR	AFG	070
20140325	GBR	AFG	071
20140325	GBR	AUS	071
20140325	GBR	GBR	071
20140325	GBR	GBR	071
20140325	GBR	GBR	071
20140325	GBR	GBR	072
20140325	GBR	IRL	071
20140325	GBR	LBY	070
20140325	GBR	LBY	070
20140325	GBR	LBY	070
20140325	GBR	LBY	070
20140325	GBR	MMR	071
20140325	GBR	MYS	071
20140325	GBR	MYS	071
20140325	GBR	SYR	073
20140325	GBR	SYR	073
20140325	GBR	SYR	073
20140325	GBR	SYR	073
20140325	GBR	USA	070
20140325	GBR	USA	070
20140325	GBR	USA	070
20140325	GBR	USA	070
20140325	GBR	USA	070
20140325	GBR	USA	070
20140325	GBR	USA	071
20140325	GBR	USA	071
20140325	GBR	USA	071
20140325	GBR	USA	071
20140325	GBR	USA	071
20140325	GBR	VNM	071
20140325	GBR	VNM	071
20140325	GBR	GBR	070
20140325	GBR	GBR	070
20140325	GBR	GBR	071
20140325	GBR	GBR	070
20140325	GBR	USA	073
20140325	GHA	GBR	070
20140325	GMB	AUS	073
20140325	GMB	AUS	073
20140325	GMB	AUS	073
20140325	GRC	GRC	071
20140325	GRC	EUR	073
20140325	GRC	PER	071
20140325	GRC	USA	070
20140325	GRC	USA	070
20140325	GRD	AUS	070
20140325	HUN	RUS	070
20140325	HUN	RUS	070
20140325	HUN	RUS	070
20140325	HUN	RUS	070
20140325	HUN	RUS	070
20140325	IDN	AUS	070
20140325	IDN	AUS	070
20140325	IDN	AUS	070
20140325	IDN	AUS	070
20140325	IDN	GBR	071
20140325	IDN	GBR	071
20140325	EUR	GRC	071
20140325	EUR	IRL	073
20140325	EUR	IRN	070
20140325	EUR	IRN	070
20140325	WST	FIN	071
20140325	WST	NLD	072
20140325	WST	POL	072
20140325	WST	RUS	072
20140325	IND	IND	071
20140325	IND	IND	071
20140325	IND	USA	071
20140325	IRL	KHM	073
20140325	IRL	USA	071
20140325	IRL	USA	071
20140325	IRL	USA	071
20140325	IRL	GBR	071
20140325	IRL	IRL	071
20140325	IRL	IRL	070
20140325	IRN	NLD	073
20140325	IRN	NLD	073
20140325	IRN	NLD	073
20140325	IRQ	IRQ	071
20140325	IRQ	IRQ	071
20140325	IRQ	SYR	073
20140325	IRQ	SYR	073
20140325	IRQ	USA	070
20140325	IRQ	USA	070
20140325	IRQ	USA	070
20140325	ISR	PSE	071
20140325	ISR	USA	075
20140325	ISR	USA	075
20140325	ISR	ISR	073
20140325	ITA	ITA	073
20140325	ITA	LBY	070
20140325	ITA	LBY	070
20140325	ITA	LBY	070
20140325	ITA	LBY	070
20140325	JOR	EUR	071
20140325	JOR	LBY	070
20140325	JOR	LBY	070
20140325	JOR	LBY	070
20140325	JOR	LBY	070
20140325	JOR	SYR	073
20140325	JOR	SYR	073
20140325	JOR	SYR	073
20140325	JOR	SYR	073
20140325	JOR	SYR	073
20140325	JPN	JPN	070
20140325	JPN	MHL	071
20140325	JPN	PHL	070
20140325	JPN	UKR	070
20140325	JPN	UKR	070
20140325	JPN	UKR	070
20140325	JPN	UKR	070
20140325	JPN	UKR	070
20140325	JPN	UKR	071
20140325	JPN	UKR	071
20140325	JPN	UKR	071
20140325	JPN	UKR	071
20140325	JPN	UKR	071
20140325	JPN	UKR	073
20140325	JPN	UKR	073
