20130530	CYP	CYP	071
20130530	GBR	IRL	071
20130530	USA	USA	071
20130530	USA	USA	070
20130530	USA	USA	070
20130530	USA	USA	071
20140430	CAN	FRA	071
20140430	PHL	MYS	073
20140430	TUR	BEL	071
20140430	TUR	BEL	071
20140430	TUR	BEL	071
20140430	USA	RUS	070
20140523	SRB	RUS	072
20140523	SDN	ISR	075
20140523	SDN	ISR	075
20140523	USA	WST	070
20140523	USA	USA	073
20140529	FRA	ARG	071
20140529	PHL	CHN	073
20140529	PHL	CHN	073
20140529	USA	CHN	071
20140529	USA	USA	073
20140529	USA	USA	073
20140529	USA	USA	073
20140530	AFG	IRN	071
20140530	AFG	JPN	071
20140530	AFG	JPN	071
20140530	AFG	PAK	071
20140530	AFG	USA	071
20140530	AFG	USA	071
20140530	AFG	USA	071
20140530	AFG	USA	071
20140530	AFR	AFR	071
20140530	AFR	CHN	070
20140530	AFR	USA	071
20140530	AFR	USA	071
20140530	AFR	ZWE	071
20140530	AFR	AFR	073
20140530	ARE	EGY	070
20140530	ARE	EGY	070
20140530	ARE	EGY	070
20140530	ARE	EGY	070
20140530	ARE	GBR	075
20140530	ARE	GBR	075
20140530	ARG	FRA	071
20140530	ARG	USA	071
20140530	ARG	USA	071
20140530	ARG	USA	071
20140530	ARG	USA	071
20140530	ARG	USA	071
20140530	ARG	USA	073
20140530	ARG	USA	071
20140530	ARM	ARM	071
20140530	ARM	ARM	071
20140530	ARM	ARM	071
20140530	ARM	EUR	071
20140530	ARM	SYR	072
20140530	ARM	SYR	072
20140530	ARM	SYR	072
20140530	ARM	SYR	072
20140530	ARM	USA	071
20140530	ARM	USA	071
20140530	AUS	AUS	073
20140530	AUS	AUS	071
20140530	AUS	MYS	070
20140530	AUS	MYS	070
20140530	AUS	MYS	070
20140530	AUS	MYS	070
20140530	AUS	NZL	070
20140530	AUS	SYR	071
20140530	AUS	SYR	071
20140530	AUS	SYR	071
20140530	AUS	USA	071
20140530	AUS	USA	071
20140530	AUS	USA	071
20140530	AUS	USA	072
20140530	AUS	AUS	070
20140530	AUS	AUS	070
20140530	AUS	AUS	071
20140530	BEL	FRA	071
20140530	BEL	EUR	071
20140530	BEL	USA	071
20140530	BGR	TUR	070
20140530	BGR	TUR	070
20140530	BGR	TUR	070
20140530	BGR	TUR	070
20140530	BGR	TUR	070
20140530	BGR	TUR	070
20140530	BGR	TUR	070
20140530	BGR	TUR	070
20140530	BGR	USA	070
20140530	BGR	USA	070
20140530	BGR	USA	070
20140530	BLR	RUS	071
20140530	BLZ	EUR	071
20140530	BRA	USA	071
20140530	BTN	BTN	071
20140530	CAN	CAN	070
20140530	CAN	CAN	070
20140530	CAN	CAN	070
20140530	CAN	CAN	075
20140530	CAN	CAN	075
20140530	CAN	CAN	075
20140530	CAN	CAN	071
20140530	CAN	CAN	071
20140530	CAN	CAN	071
20140530	CAN	CAN	071
20140530	CAN	CAN	071
20140530	CAN	CAN	071
20140530	CAN	CAN	071
20140530	CAN	CAN	070
20140530	CAN	CAN	072
20140530	CAN	GBR	070
20140530	CAN	GBR	070
20140530	CAN	GBR	070
20140530	CAN	GBR	070
20140530	CAN	GMB	071
20140530	CAN	IND	075
20140530	CAN	IND	075
20140530	CAN	IND	075
20140530	CAN	NGA	072
20140530	CAN	NGA	072
20140530	CAN	PAK	075
20140530	CAN	PAK	075
20140530	CAN	SYR	070
20140530	CAN	USA	071
20140530	CAN	USA	071
20140530	CAN	USA	071
20140530	CAN	USA	071
20140530	CAN	USA	071
20140530	CAN	USA	071
20140530	CAN	USA	071
20140530	CAN	USA	071
20140530	CAN	USA	071
20140530	CAN	USA	071
20140530	CAN	USA	071
20140530	CAN	VNM	075
20140530	CAN	CAN	071
20140530	CAN	CAN	070
20140530	CAN	CAN	070
20140530	CAN	CAN	070
20140530	CAN	CAN	071
20140530	CAN	CAN	071
20140530	CAN	CAN	071
20140530	CAN	CAN	071
20140530	CAN	CAN	071
20140530	CAN	CAN	071
20140530	CAN	CAN	073
20140530	CAN	CAN	073
20140530	CAN	USA	071
20140530	CAN	USA	071
20140530	CAN	USA	071
20140530	CHN	AFR	070
20140530	CHN	BRN	070
20140530	CHN	CHN	070
20140530	CHN	CHN	070
20140530	CHN	GBR	070
20140530	CHN	GBR	070
20140530	CHN	GBR	070
20140530	CHN	SEA	070
20140530	CHN	SEA	070
20140530	CHN	KOR	071
20140530	CHN	MYS	071
20140530	CHN	MYS	071
20140530	CHN	MYS	073
20140530	CHN	RUS	071
20140530	CHN	SSD	072
20140530	CHN	TZA	071
20140530	CHN	USA	071
20140530	CHN	VNM	073
20140530	CHN	VNM	073
20140530	CHN	KOR	071
20140530	CHN	CHN	070
20140530	CHN	CHN	070
20140530	CHN	CHN	070
20140530	CHN	CHN	071
20140530	CHN	CHN	071
20140530	CHN	CHN	071
20140530	CHN	CHN	071
20140530	CHN	CHN	070
20140530	CHN	CHN	070
20140530	CHN	CHN	071
20140530	CHN	CHN	071
20140530	CMR	NGA	072
20140530	COL	COL	071
20140530	DEU	DEU	071
20140530	DEU	DEU	071
20140530	DEU	GBR	070
20140530	DEU	GBR	070
20140530	DEU	ITA	071
20140530	DEU	ITA	071
20140530	DEU	LBN	075
20140530	DEU	LBN	075
20140530	DEU	LBN	075
20140530	DEU	LBN	075
20140530	DEU	USA	071
20140530	DEU	USA	071
20140530	DEU	PHL	070
20140530	DEU	RUS	071
20140530	DEU	RUS	071
20140530	DEU	SYR	070
20140530	DEU	SYR	070
20140530	DEU	SYR	070
20140530	DEU	SYR	071
20140530	DEU	SYR	071
20140530	DEU	SYR	070
20140530	DEU	LBN	070
20140530	DEU	LBN	070
20140530	DEU	PHL	070
20140530	DJI	AFR	072
20140530	DOM	DOM	071
20140530	EGY	USA	070
20140530	EGY	USA	070
20140530	ESP	USA	070
20140530	ESP	USA	070
20140530	ESP	USA	070
20140530	ESP	USA	071
20140530	ESP	USA	070
20140530	ETH	AFR	071
20140530	ETH	EGY	071
20140530	ETH	SDN	071
20140530	ETH	SDN	071
20140530	ETH	SOM	070
20140530	ETH	SOM	070
20140530	ETH	SOM	070
20140530	ETH	SOM	072
20140530	ETH	SOM	072
20140530	EUR	DEU	071
20140530	EUR	DEU	071
20140530	EUR	ESP	070
20140530	EUR	EUR	071
20140530	EUR	ITA	070
20140530	EUR	POL	071
20140530	EUR	RUS	070
20140530	EUR	SYR	075
20140530	EUR	SYR	075
20140530	EUR	SYR	075
20140530	EUR	USA	073
20140530	FIN	DNK	071
20140530	FIN	DNK	071
20140530	FIN	DNK	071
20140530	FRA	CHN	070
20140530	FRA	FRA	070
20140530	FRA	FRA	070
20140530	FRA	GBR	070
20140530	FRA	GBR	070
20140530	FRA	GBR	070
20140530	FRA	GBR	070
20140530	FRA	ITA	071
20140530	FRA	MCO	071
20140530	FRA	MCO	071
20140530	FRA	MLI	072
20140530	FRA	MLI	072
20140530	FRA	POL	070
20140530	FRA	POL	070
20140530	FRA	SGP	071
20140530	FRA	SGP	071
20140530	FRA	USA	071
20140530	FRA	USA	071
20140530	GBR	EUR	070
20140530	GBR	EUR	071
20140530	GBR	GBR	071
20140530	GBR	GBR	071
20140530	GBR	GMB	070
20140530	GBR	GMB	070
20140530	GBR	IRQ	072
20140530	GBR	IRQ	072
20140530	GBR	IRQ	072
20140530	GBR	MYS	070
20140530	GBR	MYS	070
20140530	GBR	MYS	070
20140530	GBR	RUS	070
20140530	GBR	RUS	070
20140530	GBR	RUS	070
20140530	GBR	SRB	070
20140530	GBR	SRB	070
20140530	GBR	SDN	070
20140530	GBR	USA	071
20140530	GBR	USA	071
20140530	GBR	USA	072
