20130815	ALB	ALB	071
20130815	CHE	USA	071
20130815	GBR	USA	071
20130815	IRL	IRL	071
20130815	USA	CHE	071
20130815	USA	CHE	071
20130815	RUS	USA	073
20130815	RUS	USA	073
20130815	RUS	USA	073
20130815	USA	USA	070
20130815	USA	USA	071
20130815	USA	USA	071
20130815	USA	USA	071
20140716	ARG	USA	071
20140808	GRC	GRC	071
20140808	IRQ	AUS	070
20140808	IRQ	AUS	070
20140808	IRQ	AUS	070
20140808	IRQ	AUS	070
20140808	IRQ	AUS	070
20140808	IRQ	IRQ	070
20140808	USA	IRN	072
20140808	USA	IRQ	073
20140808	USA	USA	071
20140808	USA	USA	071
20140814	BRN	BRN	070
20140814	BRN	BRN	070
20140814	GBR	GBR	073
20140814	GBR	GBR	073
20140814	RUS	UKR	072
20140814	RUS	UKR	072
20140814	SWZ	SWZ	070
20140814	THA	THA	071
20140814	USA	SYR	073
20140815	AFG	AFG	071
20140815	AFG	COD	073
20140815	AFG	COD	073
20140815	AFG	COD	073
20140815	AFG	USA	071
20140815	AFG	USA	071
20140815	AFG	USA	071
20140815	AFR	EUR	070
20140815	AFR	ISR	071
20140815	AFR	ISR	071
20140815	AFR	KEN	071
20140815	AFR	MDV	070
20140815	AFR	NGA	070
20140815	AFR	NGA	070
20140815	AFR	SLE	070
20140815	AFR	ZAF	070
20140815	AFR	AFR	071
20140815	AFR	CHE	070
20140815	AFR	CHE	070
20140815	AFR	CHE	070
20140815	AFR	SLE	070
20140815	AGO	AGO	070
20140815	ARE	EGY	071
20140815	ARE	EGY	071
20140815	ARE	EGY	071
20140815	ARE	BRA	071
20140815	ARG	ARG	071
20140815	ARG	ARG	071
20140815	ARG	USA	071
20140815	ARM	ARM	071
20140815	ARM	ARM	072
20140815	ARM	AZE	074
20140815	ARM	AZE	074
20140815	AUS	AUS	071
20140815	AUS	FJI	073
20140815	AUS	IDN	071
20140815	AUS	MAR	075
20140815	AUS	MAR	075
20140815	AUS	MAR	075
20140815	AUS	MAR	075
20140815	AUS	KOR	071
20140815	AUS	RUS	070
20140815	AUS	RUS	070
20140815	AUS	UKR	070
20140815	AUS	UKR	070
20140815	AUS	UKR	070
20140815	AUS	UKR	070
20140815	AUS	USA	071
20140815	AUS	USA	071
20140815	AUS	USA	071
20140815	AUS	IRQ	070
20140815	AUS	IRQ	070
20140815	AUS	IRQ	070
20140815	AZE	ARM	074
20140815	AZE	ARM	074
20140815	AZE	AZE	072
20140815	AZE	CHN	071
20140815	AZE	EGY	071
20140815	AZE	ITA	070
20140815	AZE	ITA	071
20140815	AZE	ITA	071
20140815	BGR	BGR	070
20140815	BGR	BGR	070
20140815	BHR	SAU	071
20140815	BHR	SAU	071
20140815	BHR	SAU	071
20140815	BHR	SAU	071
20140815	BHR	BHR	071
20140815	BHR	IRL	071
20140815	BLR	UKR	073
20140815	BLR	UKR	073
20140815	BLR	UKR	073
20140815	BLR	UKR	073
20140815	BOL	BOL	073
20140815	BRA	VNM	070
20140815	BRA	VNM	070
20140815	CAN	CAN	070
20140815	CAN	CAN	070
20140815	CAN	CAN	070
20140815	CAN	CAN	070
20140815	CAN	CAN	071
20140815	CAN	CAN	073
20140815	CAN	CAN	073
20140815	CAN	CAN	073
20140815	CAN	CAN	073
20140815	CAN	CAN	073
20140815	CAN	FRA	075
20140815	CAN	FRA	075
20140815	CAN	FRA	075
20140815	CAN	FRA	075
20140815	CAN	FRA	075
20140815	CAN	JPN	071
20140815	CAN	JPN	071
20140815	CAN	LBR	070
20140815	CAN	PER	070
20140815	CAN	PER	070
20140815	CAN	PER	070
20140815	CAN	PER	070
20140815	CAN	PER	070
20140815	CAN	PER	070
20140815	CAN	UKR	070
20140815	CAN	UKR	070
20140815	CAN	UKR	072
20140815	CAN	UKR	072
20140815	CAN	CAN	071
20140815	CAN	CAN	070
20140815	CAN	CAN	070
20140815	CAN	CAN	070
20140815	CAN	CAN	071
20140815	CAN	CAN	071
20140815	CAN	CAN	071
20140815	CAN	UKR	072
20140815	CAN	CAN	071
20140815	CAN	CAN	070
20140815	CAN	CAN	073
20140815	CAN	CAN	073
20140815	CHE	EUR	071
20140815	CHE	UKR	070
20140815	CHN	BRA	071
20140815	CHN	CAN	070
20140815	CHN	CHN	070
20140815	CHN	CHN	070
20140815	CHN	CHN	070
20140815	CHN	GHA	071
20140815	CHN	JPN	070
20140815	CHN	JPN	070
20140815	CHN	JPN	070
20140815	CHN	JPN	070
20140815	CHN	KEN	070
20140815	CHN	KEN	070
20140815	CHN	KOR	070
20140815	CHN	KOR	070
20140815	CHN	MEX	073
20140815	CHN	SGP	070
20140815	CHN	SLE	073
20140815	CHN	SUR	071
20140815	CHN	SUR	071
20140815	CHN	USA	071
