20131015	ALB	UGA	070
20131015	BRA	BOL	075
20131015	BRA	BOL	075
20131015	GBR	POL	071
20131015	GBR	POL	071
20131015	GBR	POL	071
20131015	IND	CAN	071
20131015	PAK	PAK	072
20131015	USA	USA	071
20131015	USA	USA	071
20131015	USA	VEN	075
20131015	USA	USA	071
20140915	CHN	USA	071
20140915	USA	JPN	070
20140915	USA	JPN	070
20140915	USA	JPN	070
20140915	USA	JPN	070
20140915	USA	JPN	070
20140915	USA	JPN	070
20140915	USA	USA	070
20140915	USA	USA	072
20140915	USA	USA	072
20140915	USA	USA	070
20140915	USA	USA	070
20141008	AUT	OMN	071
20141008	SYR	TUR	070
20141008	SYR	TUR	070
20141008	TUR	SYR	072
20141008	TUR	SYR	072
20141008	TUR	SYR	072
20141008	USA	ITA	071
20141008	USA	SSD	072
20141014	AUS	AUS	073
20141014	GBR	GBR	071
20141014	NGA	AFR	071
20141015	AFG	AFG	072
20141015	AFG	AFG	071
20141015	AFG	AFG	070
20141015	AFG	USA	072
20141015	AFG	AFG	072
20141015	AFG	AFG	072
20141015	AFR	CHN	071
20141015	AFR	CHN	071
20141015	AFR	CMR	071
20141015	AFR	CMR	071
20141015	AFR	AFR	071
20141015	AFR	MAR	071
20141015	AFR	NER	071
20141015	AFR	NER	071
20141015	AFR	NGA	070
20141015	AFR	NGA	071
20141015	AFR	NGA	070
20141015	AFR	USA	071
20141015	AFR	TCD	071
20141015	AFR	TCD	071
20141015	AFR	USA	071
20141015	AFR	ZAF	070
20141015	AFR	ZAF	070
20141015	AFR	ZAF	070
20141015	AFR	ZAF	070
20141015	AFR	ZAF	070
20141015	AFR	ZAF	071
20141015	AFR	USA	071
20141015	AFR	USA	071
20141015	AFR	USA	071
20141015	AFR	AFR	070
20141015	AFR	AFR	073
20141015	AFR	AFR	070
20141015	AGO	AGO	070
20141015	ARE	BHR	071
20141015	ARE	BHR	071
20141015	ARE	BHR	071
20141015	ARE	BRA	071
20141015	ARE	BRA	071
20141015	ARE	GBR	073
20141015	ARE	JOR	071
20141015	ARE	JOR	071
20141015	ARE	JOR	071
20141015	ARE	KWT	071
20141015	ARE	KWT	071
20141015	ARE	KWT	071
20141015	ARE	SAU	075
20141015	ARE	ARE	070
20141015	ARG	ARG	070
20141015	ARG	ARG	070
20141015	ARM	USA	072
20141015	ARM	CHN	070
20141015	AUS	AFR	070
20141015	AUS	AUS	071
20141015	AUS	AUS	071
20141015	AUS	AUS	070
20141015	AUS	AUS	070
20141015	AUS	AUS	070
20141015	AUS	AUS	071
20141015	AUS	AUS	071
20141015	AUS	AUS	073
20141015	AUS	AUS	073
20141015	AUS	AUS	073
20141015	AUS	AUS	073
20141015	AUS	AUS	073
20141015	AUS	AUS	073
20141015	AUS	AUS	073
20141015	AUS	AUS	073
20141015	AUS	AUS	073
20141015	AUS	AUS	073
20141015	AUS	AUS	073
20141015	AUS	ECU	075
20141015	AUS	ECU	075
20141015	AUS	EUR	070
20141015	AUS	EUR	070
20141015	AUS	GBR	072
20141015	AUS	GBR	072
20141015	AUS	GBR	072
20141015	AUS	GBR	072
20141015	AUS	GBR	072
20141015	AUS	GBR	072
20141015	AUS	GBR	072
20141015	AUS	GBR	072
20141015	AUS	GBR	072
20141015	AUS	IRQ	072
20141015	AUS	IRQ	072
20141015	AUS	IRQ	074
20141015	AUS	IRQ	074
20141015	AUS	IRQ	072
20141015	AUS	IRQ	074
20141015	AUS	IRQ	074
20141015	AUS	IRQ	074
20141015	AUS	IRQ	074
20141015	AUS	JPN	070
20141015	AUS	JPN	070
20141015	AUS	JPN	070
20141015	AUS	LBR	073
20141015	AUS	LBR	073
20141015	AUS	MCO	070
20141015	AUS	USA	071
20141015	AUS	USA	071
20141015	AUS	USA	070
20141015	AUS	USA	070
20141015	AUS	USA	070
20141015	AUS	USA	070
20141015	AUS	USA	071
20141015	AUS	USA	072
20141015	AUS	USA	072
20141015	AUS	USA	072
20141015	AUS	USA	072
20141015	AUS	USA	072
20141015	AUS	USA	072
20141015	AUS	USA	072
20141015	AUS	AUS	071
20141015	AUS	JPN	070
20141015	AUS	AUS	071
20141015	AUS	AUS	071
20141015	AUS	AUS	071
20141015	AUS	AUS	072
20141015	AUS	AFR	070
20141015	AUS	AUS	072
20141015	AUT	AUT	070
20141015	BEL	FRA	071
20141015	BGR	BGR	072
20141015	BGR	EUR	070
20141015	BGR	EUR	070
20141015	BGR	ISR	073
20141015	BGR	ISR	073
20141015	BGR	PSE	073
20141015	BGR	PSE	073
20141015	BGR	PSE	073
20141015	BHR	ARE	071
20141015	BHR	ARE	071
20141015	BHR	ARE	071
20141015	BHR	ARE	071
20141015	BHR	ARE	071
20141015	BHR	JOR	071
20141015	BHR	JOR	071
20141015	BHR	JOR	071
20141015	BHR	JOR	071
20141015	BHR	KWT	071
20141015	BHR	KWT	071
20141015	BHR	KWT	071
20141015	BRA	MEX	073
20141015	BRA	MEX	073
20141015	BRA	USA	073
20141015	BRA	USA	073
20141015	BRA	CHN	070
20141015	BRA	CHN	070
20141015	CAN	AFR	070
20141015	CAN	CAN	073
20141015	CAN	CAN	071
20141015	CAN	DEU	071
20141015	CAN	DEU	071
20141015	CAN	DEU	071
20141015	CAN	IRQ	073
20141015	CAN	MEX	071
20141015	CAN	MEX	071
20141015	CAN	MEX	071
20141015	CAN	NPL	073
20141015	CAN	NPL	073
20141015	CAN	PAK	071
20141015	CAN	PAK	071
20141015	CAN	PAK	071
20141015	CAN	PAK	071
20141015	CAN	USA	070
20141015	CAN	USA	071
20141015	CAN	USA	071
20141015	CAN	USA	071
20141015	CAN	USA	071
20141015	CAN	USA	071
20141015	CAN	USA	071
20141015	CAN	NPL	073
20141015	CAN	CAN	070
20141015	CAN	CAN	070
20141015	CAN	CAN	071
20141015	CAN	CAN	071
20141015	CAN	CAN	071
20141015	CAN	CAN	071
20141015	CAN	USA	071
20141015	CAN	CAN	071
20141015	CAN	CAN	071
20141015	CAN	CAN	071
20141015	CAN	CAN	071
20141015	CHN	AFR	073
20141015	CHN	AUS	070
20141015	CHN	AUS	070
20141015	CHN	CHN	070
20141015	CHN	CHN	070
20141015	CHN	CHN	071
20141015	CHN	CHN	070
20141015	CHN	ITA	071
20141015	CHN	ITA	071
20141015	CHN	ITA	071
20141015	CHN	JPN	070
20141015	CHN	JPN	070
20141015	CHN	JPN	070
20141015	CHN	JPN	070
20141015	CHN	PAK	070
20141015	CHN	RUS	072
20141015	CHN	RUS	072
20141015	CHN	USA	071
20141015	CHN	CHN	070
20141015	CHN	ITA	073
20141015	CHN	ITA	073
20141015	CHN	RUS	071
20141015	CHN	RUS	071
20141015	COL	COL	073
20141015	COL	COL	073
20141015	CUB	AFR	073
20141015	CUB	SLE	070
20141015	CUB	USA	070
20141015	CUB	USA	070
20141015	CYM	BMU	070
20141015	CYP	GRC	072
20141015	CYP	GRC	073
20141015	DEU	AUT	071
20141015	DEU	DEU	073
20141015	DEU	DEU	073
20141015	DEU	DEU	070
20141015	DEU	DEU	071
20141015	DEU	MLI	072
20141015	DEU	MLI	072
20141015	DEU	IRL	071
20141015	DEU	IRL	071
20141015	DEU	IRL	071
20141015	DEU	POL	073
20141015	DEU	POL	073
20141015	DEU	POL	073
20141015	DEU	RUS	070
20141015	DEU	RUS	070
20141015	DEU	RUS	071
20141015	DEU	RUS	071
20141015	DEU	RUS	071
20141015	DEU	RUS	070
20141015	DEU	SYR	072
20141015	DEU	SYR	072
20141015	DEU	SYR	072
20141015	DEU	SYR	072
20141015	DEU	UKR	070
20141015	DEU	UKR	070
20141015	DEU	UKR	070
20141015	DEU	USA	071
20141015	DEU	USA	071
20141015	DEU	DEU	070
20141015	DEU	SYR	072
20141015	DEU	SYR	072
20141015	DEU	SYR	072
20141015	DEU	SYR	072
20141015	DEU	UKR	070
20141015	DNK	USA	073
20141015	ECU	SWE	075
20141015	EGY	LBY	072
20141015	EGY	LBY	072
20141015	EGY	LBY	072
20141015	EGY	PSE	070
20141015	EGY	PSE	071
20141015	EGY	PSE	071
20141015	EGY	SDN	073
20141015	EGY	SSD	073
20141015	EGY	ISR	070
20141015	EGY	PSE	070
20141015	ESP	ESP	071
20141015	ESP	GBR	071
20141015	ESP	GBR	071
20141015	ETH	AFR	071
20141015	ETH	AFR	071
20141015	EUR	EGY	073
20141015	EUR	EGY	073
20141015	EUR	EGY	075
20141015	EUR	GBR	071
20141015	EUR	GBR	071
20141015	EUR	GBR	071
20141015	EUR	PHL	073
20141015	EUR	USA	071
20141015	EUR	USA	073
20141015	EUR	EUR	070
20141015	FIN	FIN	070
20141015	FIN	FIN	070
20141015	FIN	FIN	070
20141015	FRA	ARE	071
20141015	FRA	ARE	071
20141015	FRA	ARE	071
20141015	FRA	ARE	071
20141015	FRA	DEU	070
20141015	FRA	DEU	070
20141015	FRA	DEU	070
20141015	FRA	GBR	070
20141015	FRA	GBR	070
20141015	FRA	GBR	070
20141015	FRA	IRN	072
20141015	FRA	IRN	072
20141015	FRA	IRN	072
20141015	FRA	ITA	070
20141015	FRA	ITA	070
20141015	FRA	ITA	070
20141015	FRA	JPN	070
20141015	FRA	JPN	070
20141015	FRA	JPN	070
20141015	FRA	USA	070
20141015	FRA	USA	070
20141015	FRA	USA	073
20141015	FRA	IRL	071
20141015	FSM	IRL	071
20141015	FSM	IRL	071
20141015	FSM	FSM	070
20141015	GBR	CUB	070
20141015	GBR	CUB	070
20141015	GBR	FRA	072
20141015	GBR	FRA	072
20141015	GBR	FRA	072
20141015	GBR	FRA	072
20141015	GBR	FRA	072
20141015	GBR	FRA	072
20141015	GBR	FRA	072
20141015	GBR	FRA	072
20141015	GBR	FRA	072
20141015	GBR	GBR	070
20141015	GBR	GBR	071
20141015	GBR	GBR	071
20141015	GBR	GBR	071
20141015	GBR	GBR	071
20141015	GBR	GBR	070
20141015	GBR	GBR	071
20141015	GBR	SAS	072
20141015	GBR	ITA	071
20141015	GBR	NLD	070
20141015	GBR	NLD	070
20141015	GBR	NLD	070
20141015	GBR	NZL	071
20141015	GBR	NZL	071
20141015	GBR	PAK	072
20141015	GBR	PAK	072
20141015	GBR	SYR	072
20141015	GBR	SYR	072
20141015	GBR	SYR	071
20141015	GBR	USA	070
20141015	GBR	USA	070
20141015	GBR	USA	071
20141015	GBR	GBR	071
20141015	GBR	GBR	071
20141015	GBR	CHN	070
20141015	GBR	CHN	070
20141015	GBR	GBR	071
20141015	GBR	GBR	071
20141015	GBR	PAK	072
20141015	GBR	GBR	071
20141015	GBR	ECU	075
20141015	GBR	GBR	071
20141015	GHA	AUS	070
20141015	GIN	EUR	070
20141015	GIN	EUR	070
20141015	GIN	EUR	070
20141015	GNQ	USA	071
20141015	GNQ	USA	071
20141015	GTM	USA	071
20141015	GTM	USA	071
20141015	HRV	USA	073
20141015	HTI	USA	071
20141015	HTI	USA	071
20141015	HUN	EUR	073
20141015	IDN	USA	070
20141015	IDN	USA	070
20141015	AFR	SOM	072
20141015	EUR	AFR	072
20141015	EUR	AFR	072
20141015	EUR	ISR	070
20141015	EUR	JOR	071
20141015	EUR	IRL	070
20141015	EUR	IRL	070
20141015	EUR	PSE	070
20141015	EUR	USA	070
20141015	EUR	USA	070
20141015	EUR	USA	070
20141015	NAM	USA	071
20141015	SEA	SEA	070
20141015	IND	IND	070
20141015	IND	IND	070
