20131223	ASA	TJK	071
20131223	MEX	USA	070
20131223	NZL	MAR	072
20131223	NZL	MAR	072
20131223	RUS	BLR	072
20131223	RUS	BLR	072
20131223	RUS	BLR	072
20131223	RUS	BLR	072
20131223	RUS	RUS	072
20131223	RUS	RUS	072
20131223	RUS	BLR	072
20131223	RUS	BLR	072
20131223	RUS	BLR	072
20131223	RUS	BLR	072
20131223	SAS	USA	070
20131223	SAS	USA	070
20131223	SAS	USA	070
20131223	USA	SYR	073
20131223	USA	SYR	073
20131223	USA	USA	071
20141123	CAN	GBR	071
20141123	GTM	USA	075
20141123	GTM	USA	075
20141123	IRQ	IRQ	072
20141123	IRQ	IRQ	072
20141123	USA	ZMB	071
20141123	USA	ZMB	071
20141123	USA	ZMB	071
20141123	USA	ZMB	071
20141123	USA	ZMB	071
20141216	GBR	LBN	071
20141216	USA	USA	071
20141216	MYS	IDN	073
20141216	USA	GBR	071
20141216	USA	EGY	070
20141222	GBR	CAN	071
20141223	AFG	AFG	075
20141223	AFG	AFG	075
20141223	AFG	DEU	072
20141223	AFG	DEU	072
20141223	AFG	DEU	073
20141223	AFG	DEU	073
20141223	AFG	DEU	073
20141223	AFG	GBR	070
20141223	AFG	GBR	070
20141223	AFG	IRQ	071
20141223	AFG	PAK	075
20141223	AFG	PAK	075
20141223	AFG	PAK	075
20141223	AFG	TUR	070
20141223	AFG	TUR	070
20141223	AFG	TUR	070
20141223	AFG	USA	072
20141223	AFG	USA	072
20141223	AFR	GBR	070
20141223	AFR	GBR	070
20141223	AFR	EUR	071
20141223	AFR	EUR	071
20141223	AFR	AFR	070
20141223	ARE	ARE	071
20141223	ARE	ARE	073
20141223	ARE	AUS	070
20141223	ARG	CHN	070
20141223	ARM	AFG	070
20141223	ARM	AFG	070
20141223	AUS	AUS	071
20141223	AUS	AUS	070
20141223	AUS	CHN	070
20141223	AUS	CHN	070
20141223	AUS	CHN	070
20141223	AUS	IRN	075
20141223	AUS	NLD	070
20141223	AUS	NLD	070
20141223	AUS	NLD	070
20141223	AUS	PHL	071
20141223	AUS	USA	070
20141223	AUS	USA	070
20141223	AUS	USA	070
20141223	AUS	USA	071
20141223	AUS	USA	073
20141223	AUS	VAT	071
20141223	AUS	AUS	071
20141223	AUS	VAT	071
