20140130	IND	IND	071
20140130	USA	GRC	070
20140130	USA	GRC	070
20140130	USA	USA	070
20140130	SSD	SDN	073
20140130	SSD	EGY	073
20140130	SSD	EGY	073
20140130	SSD	SDN	073
20140130	SSD	SDN	073
20140130	USA	HUN	071
20140130	USA	HUN	071
20140130	USA	USA	071
20140130	USA	USA	071
20140130	USA	USA	071
20140130	USA	USA	071
20140130	USA	USA	071
20140130	USA	USA	071
20140130	USA	USA	071
20141231	USA	SEA	071
20150123	DOM	VEN	071
20150123	KEN	KEN	070
20150123	TCD	CMR	072
20150123	TCD	CMR	072
20150123	TCD	CMR	072
20150123	TCD	CMR	072
20150123	TCD	CMR	072
20150123	TCD	CMR	072
20150123	TCD	CMR	072
20150123	TCD	CMR	072
20150123	TCD	CMR	072
20150123	TCD	CMR	072
20150123	TCD	NER	072
20150123	TCD	NER	072
20150123	USA	USA	071
20150129	AFR	NGA	072
20150129	NER	NER	073
20150129	NER	NGA	073
20150129	NER	NGA	073
20150129	NER	NGA	073
20150129	TWN	TWN	073
20150130	AFG	AFG	072
20150130	AFG	IRQ	072
20150130	AFG	IRQ	072
20150130	AFG	IRQ	072
20150130	AFG	IRQ	072
20150130	AFG	PAK	073
20150130	AFG	PAK	073
20150130	AFG	USA	073
20150130	AFG	AFG	072
20150130	AFG	AFG	072
20150130	AFR	CMR	071
20150130	AFR	LKA	071
20150130	AFR	SOM	070
20150130	AFR	SOM	070
20150130	AFR	USA	070
20150130	AFR	USA	070
20150130	AFR	USA	071
20150130	AFR	USA	071
20150130	AFR	USA	071
20150130	AFR	USA	073
20150130	AFR	USA	073
20150130	AFR	USA	073
20150130	AFR	ZAF	071
20150130	AFR	ZAF	071
20150130	ALB	DEU	072
20150130	ALB	DEU	072
20150130	ALB	DEU	072
20150130	ARG	ARG	070
20150130	ARM	RUS	070
20150130	ARM	RUS	070
20150130	ATG	AUT	070
20150130	ATG	AUT	070
20150130	ATG	CYP	070
20150130	ATG	CYP	070
20150130	ATG	MLT	070
20150130	ATG	MLT	070
20150130	AUS	AFG	070
20150130	AUS	AFG	070
20150130	AUS	AFG	070
20150130	AUS	AUS	073
20150130	AUS	AUS	071
20150130	AUS	AUS	071
20150130	AUS	AUS	071
20150130	AUS	AUS	070
20150130	AUS	GBR	071
20150130	AUS	GBR	071
20150130	AUS	NLD	070
20150130	AUS	NLD	070
20150130	AUS	NLD	070
20150130	AUS	NLD	070
20150130	AUS	NLD	070
20150130	AUS	PHL	070
20150130	AUS	PHL	070
20150130	AUS	PHL	070
20150130	AUS	PHL	070
20150130	AUS	USA	070
20150130	AUS	USA	072
20150130	AUS	USA	072
20150130	AUS	SEA	070
20150130	AUS	SEA	070
20150130	AUS	AUS	070
20150130	AUS	AUS	071
20150130	AUS	AUS	071
20150130	AUS	GHA	071
20150130	AUS	GHA	071
20150130	AUS	PHL	070
20150130	AUS	USA	071
20150130	AUT	ATG	070
20150130	AUT	ATG	070
20150130	AUT	CYP	070
20150130	AUT	CYP	070
20150130	AUT	MLT	070
20150130	AUT	MLT	070
20150130	AUT	USA	073
20150130	AZE	ARM	071
20150130	AZE	ARM	071
20150130	AZE	WST	072
20150130	AZE	WST	072
20150130	AZE	WST	072
20150130	BDI	BDI	071
20150130	BEL	CAN	071
20150130	BEL	CAN	071
20150130	BEL	FRA	070
20150130	BEL	EUR	071
20150130	BEL	USA	071
20150130	BEL	USA	071
20150130	BEL	USA	071
20150130	BEN	NER	072
20150130	BEN	NER	072
20150130	BGR	RUS	071
20150130	BGR	RUS	071
20150130	BMU	CAN	071
20150130	BOL	USA	073
20150130	BOL	USA	073
20150130	BRN	JPN	072
20150130	BRN	JPN	072
20150130	BWA	BWA	070
20150130	CAN	CAN	071
20150130	CAN	CAN	070
20150130	CAN	CAN	070
20150130	CAN	CUB	071
20150130	CAN	CUB	071
20150130	CAN	FRA	071
20150130	CAN	FRA	071
20150130	CAN	FRA	071
20150130	CAN	GBR	070
20150130	CAN	GBR	070
20150130	CAN	GBR	071
20150130	CAN	GRC	075
20150130	CAN	EUR	070
20150130	CAN	EUR	070
20150130	CAN	IRQ	070
20150130	CAN	JPN	070
20150130	CAN	NOR	070
20150130	CAN	NOR	070
20150130	CAN	PSE	071
20150130	CAN	UGA	071
20150130	CAN	USA	070
20150130	CAN	USA	070
20150130	CAN	USA	071
20150130	CAN	USA	071
20150130	CAN	VNM	071
20150130	CAN	CUB	071
20150130	CAN	PSE	071
20150130	CAN	BMU	071
20150130	CAN	BMU	073
20150130	CAN	CAN	070
20150130	CAN	CAN	070
20150130	CAN	IRQ	070
20150130	CHE	GBR	075
20150130	CHE	GBR	075
20150130	CHN	AUS	070
20150130	CHN	AUS	070
20150130	CHN	AUS	070
20150130	CHN	AUS	070
20150130	CHN	CHN	070
20150130	CHN	CHN	071
20150130	CHN	DEU	070
20150130	CHN	DEU	070
20150130	CHN	FJI	070
20150130	CHN	JPN	072
20150130	CHN	JPN	072
20150130	CHN	MMR	071
20150130	CHN	MMR	070
20150130	CHN	MWI	070
20150130	CHN	MWI	070
20150130	CHN	MWI	071
20150130	CHN	MWI	071
20150130	CHN	MWI	071
20150130	CHN	MWI	070
20150130	CHN	MWI	070
20150130	CHN	MWI	070
20150130	CHN	PAK	071
20150130	CHN	RUS	071
20150130	CHN	USA	070
20150130	CHN	USA	073
20150130	CHN	USA	073
20150130	CHN	USA	071
20150130	CHN	VEN	071
20150130	CHN	VEN	071
20150130	CHN	VEN	071
20150130	CHN	VEN	071
20150130	CHN	MWI	070
20150130	CHN	MWI	070
20150130	CHN	MWI	070
20150130	CHN	CHN	070
20150130	CHN	MWI	070
20150130	CHN	USA	071
20150130	CHN	USA	071
20150130	CMR	NER	072
20150130	CMR	NER	072
20150130	CMR	NGA	071
20150130	CMR	NGA	075
20150130	CMR	TCD	072
20150130	CMR	TCD	072
20150130	CMR	TCD	072
20150130	CMR	TCD	072
20150130	COD	COG	074
20150130	COG	AFR	071
20150130	COG	EUR	071
20150130	CUB	RUS	070
20150130	CUB	VEN	071
20150130	CUB	CUB	070
20150130	CYP	ATG	070
20150130	CYP	ATG	070
20150130	CYP	AUT	070
20150130	CYP	AUT	070
20150130	CYP	MLT	070
20150130	CYP	MLT	070
20150130	CYP	EUR	070
20150130	CYP	EUR	070
20150130	CZE	CZE	072
20150130	DEU	ALB	072
20150130	DEU	ALB	072
20150130	DEU	DEU	071
20150130	DEU	ESP	070
20150130	DEU	ESP	075
20150130	DEU	ESP	075
20150130	DEU	ESP	075
20150130	DEU	FRA	070
20150130	DEU	FRA	070
20150130	DEU	GRC	071
20150130	DEU	GRC	071
