20150511	CAF	CAF	070
20150511	ESP	ITA	070
20150511	ESP	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	PER	PER	070
20150511	POL	POL	075
20150511	THA	AUS	070
20150511	THA	AUS	070
20150511	THA	AUS	070
20150511	USA	USA	070
20150511	USA	USA	073
20150511	USA	USA	073
20150511	USA	USA	073
20150511	USA	NGA	070
20150511	USA	SAU	070
20150511	USA	USA	070
20150511	AUS	AFG	070
20150511	GBR	EUR	072
20150511	GBR	EUR	072
20150511	GBR	EUR	072
20150511	IRN	SYR	071
20150511	KOR	KOR	071
20150511	LBN	IRN	071
20150511	LBN	IRN	071
20150511	PAK	PAK	073
20150511	THA	NPL	073
20150511	THA	NPL	073
20150511	USA	DJI	072
20150511	USA	USA	073
20150511	USA	USA	072
20150511	USA	USA	070
20150511	USA	USA	070
20150511	USA	USA	072
20150511	USA	USA	072
20150511	FRA	FRA	071
20150511	FRA	FRA	071
20150511	FRA	FRA	071
20150511	GBR	GBR	071
20150511	GBR	GBR	071
20150511	IDN	KHM	073
20150511	IDN	KHM	073
20150511	IDN	KHM	073
20150511	USA	COL	071
20150511	USA	USA	071
20150511	USA	USA	071
20150511	USA	FRA	070
20150511	VNM	USA	073
20150511	BRB	AUS	073
20150511	COG	COG	070
20150511	IND	SEA	070
20150511	JPN	FRA	070
20150511	RUS	SYR	075
20150511	RUS	SYR	075
20150511	SYR	SYR	075
20150511	ESP	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	USA	KEN	070
20150511	USA	KEN	070
20150511	USA	USA	071
20150511	BTN	AUS	070
20150511	BTN	AUS	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	FRA	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	GBR	ITA	070
20150511	SAU	QAT	072
20150511	SAU	QAT	072
20150511	SAU	QAT	072
20150511	SAU	TUR	072
20150511	SAU	TUR	072
20150511	SAU	TUR	072
20150511	SAU	TUR	072
20150511	USA	CHN	071
20150511	EUR	MLI	075
20150511	FRA	ITA	070
20150511	GBR	ITA	070
