20150919	BHS	BHS	070
20150919	CUB	USA	070
20150919	CUB	USA	070
20150919	GRC	CHE	073
20150919	GRC	CHE	073
20150919	GRC	CHE	073
20150919	HRV	HUN	070
20150919	HRV	HUN	070
20150919	HRV	HUN	070
20150919	HRV	HUN	070
20150919	HRV	HUN	070
20150919	EUR	ESP	071
20150919	EUR	ESP	071
20150919	ISR	PSE	073
20150919	ITA	CHE	073
20150919	ITA	CHE	073
20150919	ITA	ETH	075
20150919	ITA	ETH	075
20150919	ITA	ETH	075
20150919	LBN	USA	071
20150919	LBN	USA	071
20150919	LBN	USA	071
20150919	RUS	SYR	073
20150919	RUS	SYR	073
20150919	SYR	VAT	075
20150919	SYR	VAT	075
20150919	SYR	VAT	075
20150919	SYR	VAT	075
20150919	SYR	VAT	075
20150919	SYR	VAT	075
20150919	TUR	HUN	070
20150919	TUR	HUN	070
20150919	USA	AFR	071
20150919	USA	USA	071
20150919	USA	CHN	070
20150919	USA	PAK	070
20150919	USA	PAK	072
20150919	USA	PAK	072
20150919	USA	SAU	070
20150919	USA	SAU	070
20150919	USA	USA	070
20150919	USA	USA	070
20150919	USA	USA	070
20150919	USA	USA	070
20150919	USA	USA	070
20150919	USA	USA	070
20150919	BEL	ITA	071
20150919	BEL	ITA	071
20150919	CAN	WST	070
20150919	EUR	WST	070
20150919	GBR	CAN	070
20150919	GRC	CHE	073
20150919	ITA	CHE	073
20150919	RUS	SYR	072
20150919	RUS	USA	072
20150919	RUS	USA	072
20150919	SAU	SAU	070
20150919	SGP	MYS	070
20150919	SGP	MYS	070
20150919	SGP	MYS	070
20150919	SGP	MYS	070
20150919	TUR	HUN	070
20150919	TUR	SYR	072
20150919	TUR	SYR	072
20150919	USA	NGA	071
20150919	USA	NGA	071
20150919	USA	NGA	071
20150919	USA	NGA	071
20150919	USA	SYR	075
20150919	USA	SYR	073
20150919	USA	SYR	073
20150919	USA	SYR	075
20150919	USA	USA	070
20150919	USA	USA	071
20150919	USA	PAK	070
20150919	USA	USA	070
20150919	BRN	CAN	071
20150919	EUR	GBR	073
20150919	EUR	GBR	073
20150919	EUR	USA	073
20150919	EUR	USA	073
20150919	ISR	ISR	073
20150919	ISR	PSE	073
20150919	JPN	CHN	072
20150919	QAT	USA	073
20150919	SYR	GBR	073
20150919	SYR	GBR	073
20150919	USA	USA	071
20150919	USA	USA	070
20150919	USA	USA	070
20150919	USA	USA	071
20150919	USA	SAU	070
20150919	AUS	CAN	071
20150919	CUB	USA	070
20150919	CUB	USA	070
20150919	HRV	HUN	073
20150919	HRV	HUN	073
20150919	IRN	IRN	070
20150919	IRN	RUS	070
20150919	KOR	PRK	072
20150919	USA	USA	071
20150919	USA	USA	071
20150919	NGA	BFA	070
20150919	NGA	BFA	070
20150919	USA	IRN	071
20150919	USA	IRN	071
20150919	USA	IRN	071
20150919	USA	IRN	071
20150919	USA	USA	070
20150919	USA	USA	070
20150919	ISR	ISR	070
20150919	KOR	JPN	070
20150919	NGA	NGA	070
20150919	NGA	NGA	072
20150919	RUS	SYR	072
20150919	RUS	SYR	072
20150919	SYR	VAT	073
20150919	TUR	TUR	073
20150919	TUR	TUR	073
20150919	TUR	TUR	073
20150919	USA	ESP	071
20150919	USA	ESP	071
20150919	USA	ESP	071
20150919	USA	USA	071
20150919	USA	USA	070
20150919	USA	USA	071
20150919	USA	USA	071
20150919	CAN	LBN	075
20150919	CAN	LBN	075
20150919	CAN	LBN	075
20150919	CHN	USA	071
20150919	EUR	USA	073
20150919	EUR	USA	073
20150919	GTM	MEX	075
20150919	GTM	MEX	075
20150919	HND	MEX	075
20150919	HND	MEX	075
20150919	KOR	USA	073
20150919	KOR	USA	073
20150919	KOR	USA	073
20150919	SYR	SYR	075
20150919	USA	USA	071
20150919	USA	USA	071
20150919	USA	SEN	070
20150919	USA	USA	070
20150919	USA	USA	070
20150919	USA	USA	070
20150919	USA	USA	070
20150919	GBR	IRL	071
20150919	GBR	IRL	071
20150919	HRV	HUN	073
20150919	HRV	HUN	073
20150919	HRV	HUN	073
20150919	IRQ	BHR	073
20150919	IRQ	BHR	073
20150919	IRQ	BHR	073
20150919	NGA	CHN	071
20150919	NGA	CHN	071
20150919	RUS	SYR	072
20150919	RUS	SYR	072
20150919	RUS	SYR	072
20150919	RUS	SYR	072
20150919	SAU	SAU	070
20150919	SAU	USA	071
20150919	SAU	USA	071
20150919	SYR	BHR	073
20150919	SYR	BHR	073
20150919	USA	USA	071
20150919	USA	DEU	070
20150919	USA	SAU	070
20150919	USA	USA	070
20150919	DEU	HUN	073
20150919	DEU	HUN	073
20150919	DEU	SYR	075
20150919	DEU	SYR	075
20150919	DEU	SYR	075
20150919	SRB	SWE	075
20150919	SRB	SWE	075
20150919	SRB	SWE	075
20150919	USA	EUR	073
20150919	USA	NOR	071
20150919	IRN	IRN	070
20150919	IRN	JOR	070
20150919	IRN	JOR	070
20150919	SYR	RUS	072
20150919	SYR	RUS	072
20150919	USA	SAU	070
20150919	BEL	SRB	070
20150919	CAN	USA	071
20150919	CUB	USA	070
20150919	CUB	USA	070
20150919	USA	USA	071
20150919	USA	USA	071
20150919	TUR	CAN	075
20150919	USA	CAN	071
20150919	USA	CAN	071
20150919	USA	USA	070
20150919	ARM	ARM	070
20150919	LAO	LAO	070
20150919	LAO	LAO	071
20150919	RUS	SYR	072
20150919	USA	SYR	075
20150919	CHL	USA	070
20150919	EUR	SYR	073
20150919	FRA	BEL	070
20150919	PSE	SAU	070
20150919	RUS	SYR	072
20150919	RUS	SYR	072
20150919	TUR	SYR	072
20150919	TUR	SYR	072
20150919	USA	USA	070
20150919	USA	USA	072
20150919	USA	USA	071
