20151207	BGD	BGD	070
20151207	CHN	ZWE	071
20151207	FRA	SWE	071
20151207	FRA	SWE	071
20151207	GBR	TUR	070
20151207	WST	EUR	070
20151207	IND	WST	070
20151207	ISR	EGY	071
20151207	ISR	EGY	071
20151207	ISR	SYR	070
20151207	ISR	SYR	070
20151207	NZL	NZL	071
20151207	RUS	USA	071
20151207	TUR	EUR	070
20151207	TUR	IRQ	072
20151207	TUR	TUR	075
20151207	USA	EGY	073
20151207	USA	WST	070
20151207	USA	USA	070
20151207	USA	USA	070
20151207	USA	USA	070
20151207	USA	ARE	070
20151207	USA	ARE	070
20151207	AUS	CAN	071
20151207	AUS	CAN	071
20151207	CHN	SSD	074
20151207	EUR	SYR	070
20151207	EUR	SYR	070
20151207	EUR	TUR	070
20151207	IRN	SYR	075
20151207	IRN	SYR	075
20151207	IRN	SYR	075
20151207	IRQ	IRQ	072
20151207	RUS	UKR	070
20151207	SYR	IRN	075
20151207	USA	USA	071
20151207	USA	PAK	071
20151207	USA	PAK	071
20151207	USA	USA	070
20151207	USA	USA	070
20151207	USA	USA	070
20151207	USA	USA	071
20151207	USA	USA	071
20151130	CMR	NGA	073
20151130	CMR	NGA	073
20151207	AUS	AUS	071
20151207	AUS	CHN	071
20151207	DEU	USA	073
20151207	DEU	USA	073
20151207	DNK	CHN	070
20151207	DNK	CHN	070
20151207	SYR	RUS	073
20151207	SYR	RUS	073
20151207	SYR	RUS	073
20151207	USA	IRQ	072
20151207	USA	USA	071
20151207	USA	USA	071
20151207	DEU	SAU	071
20151207	DEU	SAU	071
20151207	DEU	SAU	071
20151207	ESP	GBR	071
20151207	EUR	DEU	071
20151207	EUR	DEU	071
20151207	GBR	CYP	072
20151207	GBR	CYP	072
20151207	USA	IRQ	072
20151207	USA	USA	070
20151207	USA	USA	070
20151207	USA	USA	072
20151207	AUS	SAU	070
20151207	AUS	SAU	070
20151207	CHN	USA	070
20151207	DEU	SAU	071
20151207	DEU	SAU	071
20151207	DEU	SAU	071
20151207	DNK	CHN	070
20151207	DNK	CHN	070
20151207	EGY	ISR	070
20151207	EGY	ISR	070
20151207	GBR	SYR	070
20151207	GBR	SYR	070
20151207	GBR	SYR	070
20151207	JOR	SAU	070
20151207	JOR	SAU	070
20151207	SAU	DEU	071
20151207	SYR	SYR	073
20151207	SYR	SYR	073
20151207	TUR	IRQ	072
20151207	USA	ESP	071
20151207	USA	ESP	071
20151207	AUS	AUS	071
20151207	AUS	AUS	071
20151207	CHE	LIE	075
20151207	FRA	SWE	071
20151207	GBR	GBR	073
20151207	IRQ	IRQ	072
20151207	JOR	JOR	073
20151207	JOR	SYR	073
20151207	JOR	SYR	073
20151207	JOR	USA	070
20151207	JOR	USA	070
20151207	MEX	ESP	075
20151207	NGA	AFR	071
20151207	SGP	SGP	072
20151207	SGP	SGP	072
20151207	SYR	RUS	073
20151207	USA	JPN	070
20151207	USA	JPN	070
20151207	USA	JPN	070
20151207	USA	SYR	073
20151207	USA	SYR	073
20151207	USA	SYR	073
20151207	USA	IRN	070
20151207	DEU	SYR	073
20151207	DEU	SYR	073
20151207	ESP	GBR	071
20151207	SGP	USA	071
20151207	SOM	ETH	075
20151207	SOM	ETH	075
20151207	SOM	ETH	075
20151207	USA	GBR	071
20151207	USA	IRQ	072
20151207	USA	IRQ	072
20151207	USA	USA	071
20151207	USA	RUS	070
20151207	USA	RUS	070
20151207	USA	RUS	070
20151207	USA	USA	070
20151207	USA	USA	070
20151207	CAN	EGY	073
20151207	CAN	EGY	073
20151207	CAN	LBY	075
20151207	CAN	LBY	075
20151207	CHN	AFR	070
20151207	CHN	KEN	071
20151207	CHN	KEN	071
20151207	CHN	KEN	071
20151207	CZE	POL	070
20151207	ISR	ISR	071
20151207	ISR	ISR	071
20151207	TUR	IRQ	072
20151207	TUR	IRQ	072
20151207	TUR	IRQ	072
20151207	TUR	IRQ	072
20151207	UGA	KEN	070
20151207	UGA	KEN	070
20151207	USA	PAK	071
20151207	USA	USA	070
20151207	USA	USA	070
20151207	CHN	AUS	071
20151207	CHN	ZWE	071
20151207	EGY	USA	073
20151207	QAT	QAT	071
20151207	QAT	QAT	071
20151207	QAT	QAT	071
20151207	RUS	RUS	073
20151207	RUS	UKR	070
20151207	TUR	IRQ	072
20151207	TUR	IRQ	072
20151207	USA	USA	070
20151207	USA	IRQ	072
20151207	USA	IRQ	072
20151207	USA	IRQ	072
20151207	USA	SYR	072
20151207	USA	SYR	072
20151207	DEU	SAU	071
20151207	ISR	ISR	070
20151207	SAU	SAU	071
20151207	USA	CUB	072
20151207	USA	CUB	072
20151207	USA	CUB	072
20151207	USA	DOM	072
20151207	USA	DOM	072
20151207	USA	DOM	072
20151207	USA	HTI	072
20151207	USA	HTI	072
20151207	USA	HTI	072
20151207	USA	MEX	072
20151207	USA	MEX	072
20151207	USA	MEX	072
20151207	USA	PAK	070
20151207	USA	RUS	072
20151207	USA	RUS	072
20151207	USA	RUS	072
20151207	USA	CUB	072
20151207	USA	DOM	072
20151207	USA	HTI	072
20151207	USA	MEX	072
20151207	USA	RUS	072
20151130	CMR	NGA	073
20151207	CAN	CAN	070
20151207	CHN	AFR	071
20151207	DNK	DNK	071
20151207	GBR	USA	070
20151207	EUR	TUR	073
20151207	ITA	VAT	071
20151207	USA	AUS	071
20151207	TZA	KEN	071
20151207	TZA	KEN	071
20151207	USA	USA	070
20151207	AUS	NZL	071
20151207	CHN	AFR	071
20151207	GBR	GBR	072
20151207	IRQ	TUR	072
20151207	ITA	ITA	072
20151207	PAK	PAK	071
20151207	SGP	MUS	071
20151207	SGP	MUS	071
20151207	AUS	AUS	073
20151207	GBR	EUR	073
20151207	IND	ASA	071
20151207	IND	ASA	071
20151207	IND	IND	073
