20160228	BLZ	GTM	073
20160306	CHN	CHN	075
20160306	FRA	SAU	072
20160306	FRA	SAU	072
20160306	USA	USA	071
20160306	USA	USA	071
20160306	USA	USA	071
20160306	USA	USA	071
20160306	USA	USA	071
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	070
20150307	DEU	SWE	073
20150307	DEU	SWE	073
20160306	GRC	EUR	071
20160306	SYR	GRC	070
20160306	USA	NMR	070
20160306	USA	USA	070
20160306	USA	HUN	070
20160306	USA	HUN	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	CUB	ISR	075
20160306	CUB	ISR	075
20160306	CUB	ISR	075
20160306	GRC	IRQ	075
20160306	IRN	USA	070
20160306	IRN	USA	070
20160306	SSD	KEN	071
20160306	SSD	KEN	071
20160306	SSD	KEN	071
20160306	USA	HND	070
20160306	USA	HND	070
20160306	USA	IRL	075
20160306	USA	IRN	070
20160306	USA	SGP	070
20160306	USA	SGP	070
20160306	USA	USA	071
20160306	USA	IRQ	070
20160306	USA	USA	070
20160306	AUS	MYS	073
20160306	CAN	SYR	073
20160306	EUR	GBR	071
20160306	EUR	GRC	071
20160306	EUR	GRC	071
20160306	NGA	AFR	070
20160306	NGA	AFR	070
20160306	NGA	NGA	070
20160306	SYR	SYR	075
20160306	USA	USA	070
20160306	USA	AUS	070
20160306	USA	AUS	070
20160305	JPN	FJI	070
20160305	JPN	FJI	070
20160306	RUS	LBY	070
20160306	SYR	SYR	070
20160306	TUR	SYR	075
20160306	TUR	SYR	075
20160306	TUR	SYR	075
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	071
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	CHN	KEN	070
20160306	ISR	ISR	070
20160306	JPN	USA	070
20160306	SYR	SAU	071
20160306	SYR	SAU	071
20160306	SYR	SAU	071
20160306	USA	AFG	073
20160306	USA	USA	070
20160306	USA	USA	071
20160306	USA	CHE	070
20160306	AUS	AUS	073
20160306	USA	HND	070
20160306	USA	HND	070
20160306	USA	HTI	075
20160306	USA	HTI	075
20160306	USA	USA	071
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	GBR	FRA	071
20160306	IDN	VNM	073
20160306	MAR	USA	075
20160306	MAR	USA	075
20160306	RUS	RUS	071
20160306	RUS	RUS	071
20160306	USA	NGA	075
20160306	USA	TWN	075
20160306	USA	TWN	075
20160306	USA	ZWE	070
20160306	USA	ZWE	070
20160306	USA	ZWE	070
20160306	USA	ZWE	073
20160306	USA	USA	070
20160306	USA	USA	070
20160306	CUB	CUB	075
20160306	CUB	CUB	075
20160306	MEX	USA	071
20160306	MEX	USA	071
20160306	NIC	CUB	075
20160306	NIC	CUB	075
20160306	NIC	CUB	075
20160306	USA	CUB	070
20160306	USA	LBN	070
20160306	USA	LBN	070
20160306	USA	LBN	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	AFR	NGA	071
20160306	CAN	USA	075
20160306	CAN	USA	075
20160306	CAN	USA	070
20160306	CAN	USA	070
20160306	CHN	NAM	070
20160306	CHN	NAM	070
20160306	CHN	NAM	070
20160306	ITA	USA	070
20160306	USA	USA	070
20160306	USA	LBN	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	CRI	USA	075
20160306	ISR	LBN	072
20160306	ISR	LBN	072
20160306	EGY	SDN	073
20160306	EGY	SDN	073
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	FRA	FRA	071
20160306	NOR	MAR	070
20160306	NOR	MAR	070
20160306	NOR	MAR	071
20160306	NOR	MAR	070
20160306	NOR	MAR	070
20160306	NOR	MAR	071
20160306	THA	THA	071
20160306	USA	USA	070
20160306	USA	USA	070
20160306	NGA	AFR	070
20160306	NGA	NGA	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	ISR	ISR	071
20160306	USA	USA	070
20160306	CAN	CAN	070
20160306	CAN	GBR	070
20160306	CAN	GBR	070
20160306	GHA	AFR	070
20160306	NGA	USA	070
20160306	NGA	USA	070
20160306	USA	ISR	071
20160306	USA	ISR	071
20160306	USA	USA	070
20160306	USA	USA	070
20160306	FRA	EGY	071
20160306	LBY	LBY	072
20160306	EUR	TUR	075
20160306	EUR	TUR	075
20160306	USA	USA	070
20160306	ZWE	AFR	070
20160228	GBR	GBR	071
20160306	EUR	GBR	071
20160306	FRA	GBR	071
20160306	FRA	GBR	072
20160306	FRA	FRA	071
20160306	FRA	FRA	072
20160306	SAU	SYR	072
20160306	SAU	SYR	072
20160306	CHN	FJI	071
20160306	CHN	FJI	071
20160306	CHN	FJI	071
20160306	CHN	FJI	071
20160306	ISR	EGY	073
20160306	ISR	EGY	073
20160306	RUS	AFG	072
20160306	TUR	SYR	075
20160306	USA	USA	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	NGA	NGA	071
20160306	NGA	NGA	071
20160306	USA	USA	073
20160306	GBR	GBR	070
20160306	IDN	ISR	070
20160306	IDN	PSE	070
20160306	IDN	PSE	070
20160306	USA	USA	070
20160306	USA	USA	070
20160306	CHN	EGY	071
20160306	CHN	EGY	071
20160306	GBR	GBR	070
20160306	USA	CHE	070
20160306	USA	EUR	070
20160306	USA	EUR	070
20160306	USA	EUR	070
20160306	USA	EUR	070
20160306	EUR	TUR	075
20160306	KOR	CHN	070
20160306	KOR	CHN	070
20160306	KOR	CHN	070
20160306	SOM	ETH	075
20160306	SOM	ETH	075
20160306	SOM	ETH	075
20160306	USA	USA	070
20150307	GBR	CHN	070
20160306	BRA	BRA	071
20160306	EUR	FRA	073
20160306	GBR	CHN	070
20160306	USA	USA	070
20160306	DEU	SYR	073
20160306	DEU	SYR	073
20160306	GHA	GHA	070
20160306	GRC	AFR	070
20160306	RUS	EUR	071
20160306	SDN	SDN	072
20160306	SYR	SYR	073
20160306	SYR	TUR	073
20160306	USA	USA	071
20160306	USA	USA	071
20160306	USA	USA	070
20160306	AUS	AUS	070
20160306	ISR	PSE	072
20160306	ISR	PSE	072
20160306	NPL	NPL	075
20160306	USA	USA	073
20160306	USA	USA	073
20160306	USA	USA	073
20160306	USA	USA	073
20160306	USA	USA	075
20160306	USA	USA	075
20160306	SAU	SYR	072
20160306	USA	SYR	075
20160306	USA	SYR	075
20160306	USA	SYR	075
20160306	USA	SYR	075
20160306	USA	SYR	075
20160306	USA	SYR	075
20160306	AUS	MYS	070
20160306	AUS	MYS	070
20160306	CHN	EUR	070
20160306	CHN	USA	070
20160306	ETH	ETH	071
20160306	EUR	CHE	073
20160306	FRA	SAU	072
20160306	USA	USA	070
20150307	LBN	FRA	072
20150307	LBN	FRA	072
20150307	LBN	SAU	071
20160306	COD	BDI	073
20160306	DOM	ARE	071
20160306	EUR	TUR	073
20160306	QAT	SOM	075
20160306	QAT	SOM	075
20160306	SGP	SGP	071
20160306	SGP	SGP	071
20160306	USA	USA	071
20160306	USA	USA	071
20160306	USA	USA	070
20160306	EUR	EUR	073
20160306	SAU	SYR	072
20160306	TUR	SYR	072
20160306	USA	EUR	070
20160306	USA	SYR	072
20160306	USA	SYR	072
20160306	AUS	JPN	071
20160306	ISR	PNG	070
20160306	ISR	PNG	070
20160306	NGA	USA	070
20160306	QAT	QAT	071
20160306	QAT	QAT	071
20160306	QAT	QAT	071
20160306	SDN	SDN	072
20160306	USA	LBN	075
20160306	USA	LBN	075
20160306	USA	LBN	075
20160306	USA	AUS	070
20160306	USA	AUS	070
20160306	USA	USA	071
20160306	CAN	SYR	075
20160306	CAN	SYR	075
20160306	AFR	CIV	072
20160306	SAU	SYR	072
20160306	SAU	SYR	072
20160306	SGP	SGP	070
20160306	USA	USA	071
20160306	USA	USA	071
20160306	USA	IRQ	070
20160306	FRA	FRA	070
20160306	GRC	AUT	073
20160306	GRC	AUT	073
20160306	IDN	ISR	070
20160306	IDN	PSE	070
20160306	RUS	EUR	071
20160306	UGA	MLI	070
20160306	USA	USA	070
20160306	AFR	ETH	070
20160306	AFR	ETH	070
20160306	CAN	USA	075
20160306	DZA	DZA	074
20160306	DZA	DZA	074
20160306	FRA	USA	070
20160306	PRK	PHL	070
20160306	SAU	MYS	070
20160306	SAU	MYS	070
20160306	GBR	SYR	075
20160306	GBR	SYR	075
20160306	KWT	ISR	071
20160306	KWT	PSE	071
20160306	USA	MEX	072
20160306	USA	USA	073
20160306	USA	USA	073
20160306	USA	USA	073
20160306	USA	BRA	070
20160306	GBR	GBR	073
20160306	GBR	GBR	073
20160306	GBR	GBR	073
20160306	PRT	AFR	071
20160306	PRT	AFR	071
20160306	RUS	NOR	075
20160306	RUS	NOR	075
20160306	USA	USA	071
20160306	USA	USA	071
20160228	EUR	FRA	071
20160228	EUR	FRA	071
20160228	EUR	FRA	071
20160306	AFR	CIV	072
20160306	JOR	SOM	070
20160306	LBN	SYR	072
20160306	LBN	SYR	072
20160306	LBN	SYR	072
20160306	QAT	SOM	075
20160306	QAT	SOM	075
20160306	SOM	JOR	070
20160306	SOM	SOM	070
20160306	TUR	NOR	073
20160306	TUR	NOR	073
20160306	TUR	SYR	070
20160306	USA	USA	072
20160306	USA	USA	072
20160306	USA	IRQ	070
20160306	AFR	GHA	070
20160306	AFR	MLI	070
20160306	EUR	TUR	075
20160306	USA	FRA	070
20160306	USA	FRA	070
20160306	BDI	BDI	074
20160306	CHN	CHN	071
20160306	MAR	MAR	073
20160306	NGA	AFR	071
20160306	NGA	NGA	071
20160306	RUS	SYR	073
