20160818	CUB	CUB	070
20160818	GBR	GBR	071
20160818	EUR	ISR	071
20160818	IND	ZWE	071
20160818	IND	ZWE	071
20160818	IND	ZWE	071
20160818	IND	ZWE	071
20160818	IND	ZWE	071
20160818	ISR	EUR	071
20160818	ITA	LBY	072
20160818	ITA	LBY	072
20160818	ITA	LBY	072
20160818	LBN	USA	070
20160818	PAN	BRB	070
20160818	SSD	SDN	075
20160818	SSD	SDN	075
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	IRN	073
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	USA	073
20160818	USA	USA	070
20160818	USA	USA	073
20160818	USA	USA	073
20160818	AFR	SYR	073
20160818	AFR	SYR	073
20160818	DEU	IRQ	072
20160818	EUR	ISR	071
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	IRN	070
20160818	USA	USA	070
20160719	USA	HTI	071
20160719	USA	HTI	071
20160818	AUS	PNG	071
20160818	EUR	DEU	071
20160818	ISR	PSE	070
20160818	ISR	PSE	070
20160818	JPN	USA	070
20160818	RUS	TUR	070
20160818	RUS	TUR	070
20160818	TUR	SYR	072
20160818	USA	ESP	070
20160818	USA	GBR	070
20160818	USA	GBR	070
20160818	USA	GBR	071
20160818	USA	GBR	071
20160818	USA	PER	070
20160818	USA	PER	070
20160818	USA	USA	070
20160818	USA	USA	071
20160818	USA	USA	071
20160818	USA	IRN	070
20160818	USA	SDN	070
20160818	USA	USA	070
20160818	AFG	IND	073
20160818	BRA	BRA	071
20160818	CAN	GBR	071
20160818	CAN	CAN	071
20160818	CAN	GBR	071
20160818	CAN	GBR	071
20160818	GRC	SYR	070
20160818	GRC	SYR	070
20160818	EUR	GBR	071
20160818	IRL	IRL	071
20160818	IRL	IRL	071
20160818	KHM	VNM	070
20160818	KHM	VNM	070
20160818	KHM	VNM	070
20160818	KHM	VNM	070
20160818	USA	SYR	073
20160818	USA	USA	071
20160818	USA	USA	071
20160818	USA	USA	071
20160818	USA	VNM	071
20160818	USA	VNM	071
20160818	USA	USA	071
20160818	USA	SOM	071
20160818	USA	SOM	071
20160818	USA	SOM	071
20160818	USA	SOM	071
20160818	USA	USA	073
20160818	USA	USA	073
20160818	USA	USA	073
20160818	USA	USA	073
20160818	USA	USA	073
20160719	GRC	TUR	075
20160719	GRC	TUR	075
20160719	SGP	IDN	070
20160817	NGA	NGA	071
20160818	GBR	CHN	070
20160818	USA	PRK	070
20160818	POL	POL	071
20160818	POL	POL	071
20160818	SRB	USA	074
20160818	SRB	USA	074
20160818	SYR	SYR	073
20160818	SYR	SYR	073
20160818	USA	ARE	070
20160818	USA	ARE	070
20160818	USA	WST	074
20160818	USA	USA	072
20160818	USA	AFG	072
20160818	USA	GBR	070
20160818	USA	GBR	070
20160818	USA	USA	070
20160818	USA	USA	071
20160818	USA	USA	072
20160818	CHN	GRC	072
20160818	CHN	GRC	072
20160818	CHN	GRC	072
20160818	CHN	TUR	072
20160818	CHN	TUR	072
20160818	CHN	TUR	072
20160818	IRN	USA	072
20160818	NZL	NZL	070
20160818	RUS	GRC	072
20160818	RUS	GRC	072
20160818	RUS	GRC	072
20160818	RUS	TUR	072
20160818	RUS	TUR	072
