20161217	BRA	BRA	070
20161217	CAN	CAN	071
20161217	CAN	CAN	071
20161217	CHN	PAK	071
20161217	CHN	SSD	070
20161217	CHN	SSD	070
20161217	COK	NZL	071
20161217	COK	NZL	071
20161217	COL	COL	070
20161217	GRC	USA	070
20161217	HTI	USA	070
20161217	HTI	USA	070
20161217	HTI	USA	070
20161217	HTI	USA	070
20161217	HTI	USA	070
20161217	NZL	NZL	071
20161217	NZL	NZL	071
20161217	RUS	JPN	070
20161217	RUS	JPN	070
20161217	RUS	JPN	070
20161217	RUS	JPN	071
20161217	RUS	JPN	071
20161217	RUS	JPN	071
20161217	RUS	JPN	071
20161217	SYR	USA	070
20161217	SYR	USA	070
20161217	TUR	USA	070
20161217	USA	GBR	070
20161217	USA	IRN	072
20161217	USA	USA	071
20161217	USA	USA	071
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	CAN	CAN	071
20161217	CAN	CAN	071
20161217	CAN	CAN	071
20161217	ITA	USA	071
20161217	USA	GBR	071
20161217	RUS	USA	071
20161217	RUS	USA	071
20161217	USA	SGP	073
20161217	USA	SGP	073
20161217	USA	USA	071
20161217	USA	USA	075
20161217	USA	ESP	070
20161217	USA	PHL	070
20161217	USA	PHL	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	DEU	EUR	070
20161217	GBR	GBR	073
20161217	GBR	GBR	073
20161217	WST	RUS	071
20161217	IRL	IRL	071
20161217	IRN	SYR	073
20161217	JPN	USA	070
20161217	JPN	USA	070
20161217	PAK	AFG	070
20161217	PAK	AFG	070
20161217	SAU	USA	071
20161217	SGP	MYS	071
20161217	SGP	MYS	071
20161217	SYR	SYR	071
20161217	UKR	NLD	071
