20161224	CHE	COD	071
20161224	DEU	USA	070
20161224	ITA	ITA	073
20161224	LBN	LBN	073
20161224	LBY	EGY	070
20161224	LBY	EGY	070
20161224	LBY	EGY	070
20161224	LBY	EGY	070
20161224	RUS	SYR	073
20161224	RUS	SYR	074
20161224	SYR	SYR	075
20161224	SYR	SYR	075
20161224	USA	DEU	070
20161224	USA	GBR	071
20161224	USA	GBR	071
20161224	USA	GBR	071
20161224	USA	USA	070
20161224	USA	USA	072
20161224	DEU	TUN	070
20161224	FRA	USA	070
20161224	FRA	USA	070
20161224	FRA	USA	070
20161224	HTI	HTI	075
20161224	IRL	VCT	071
20161224	SYR	AUS	073
20161224	SYR	AUS	073
20161224	TUN	TUN	070
20161224	USA	USA	070
20161224	USA	USA	070
20161224	USA	USA	070
20161224	USA	USA	070
20161224	USA	USA	070
20161224	FRA	USA	070
20161224	FRA	USA	070
20161224	IND	JPN	071
20161224	USA	USA	073
20161224	USA	USA	070
20161224	USA	USA	070
20161224	USA	USA	071
20161224	ISR	PSE	071
20161224	ISR	USA	071
20161224	JOR	SYR	070
20161224	JOR	SYR	070
20161224	JOR	SYR	070
20161224	PSE	ISR	071
20161224	RUS	EGY	072
20161224	RUS	EGY	072
20161224	USA	FRA	071
20161224	USA	FRA	071
20161224	USA	ISR	071
20161224	USA	PSE	071
20161224	USA	TUR	071
20161224	USA	TUR	071
20161224	USA	TUR	071
20161224	USA	USA	070
20161224	USA	USA	070
20161224	USA	USA	070
20161224	USA	USA	073
20161224	USA	RUS	070
20161224	ZAF	NPL	071
20161224	DEU	TUN	070
20161224	FRA	USA	070
20161224	FRA	USA	070
20161224	RUS	SYR	072
20161224	RUS	SYR	072
20161224	RUS	SYR	072
20161224	RUS	TUR	071
20161224	RUS	TUR	071
20161224	USA	USA	070
20161224	USA	USA	070
20161224	USA	USA	070
20161224	USA	USA	070
20161224	CAN	CAN	071
20161224	FRA	LBN	071
20161224	GBR	GBR	070
20161224	GBR	SYR	070
20161224	ISR	ISR	072
20161224	ISR	SYR	075
20161224	LBN	FRA	071
20161224	LBN	FRA	071
20161224	PSE	ISR	075
20161224	PSE	ISR	075
20161224	PSE	SYR	075
20161224	PSE	SYR	075
20161224	PSE	SYR	075
20161224	SAU	JOR	070
20161224	SAU	JOR	070
20161224	USA	USA	070
20161224	USA	USA	072
20161224	ALB	CHN	070
20161224	IDN	IDN	070
20161224	RUS	SYR	075
20161224	RUS	UKR	075
20161124	USA	SSD	074
20161224	CHN	THA	071
20161224	CHN	THA	071
20161224	FJI	FJI	070
20161224	IND	JPN	071
20161224	ITA	USA	070
20161224	GBR	FJI	070
20161224	GBR	GBR	070
20161224	RUS	SRB	073
20161224	RUS	SRB	073
20161224	RUS	SRB	073
20161224	USA	USA	070
20161224	UZB	PAK	070
20161224	UZB	UZB	070
20161224	UZB	UZB	070
20161217	CHN	USA	070
20161224	CHN	CHN	072
20161224	ESP	USA	071
20161224	GBR	EUR	071
20161224	ISR	USA	070
20161224	RUS	RUS	071
20161224	RUS	SYR	070
20161224	RUS	USA	072
20161224	RUS	USA	072
20161224	RUS	RUS	071
20161224	RUS	RUS	070
20161224	RUS	SYR	070
20161224	SYR	IRQ	072
20161224	SYR	IRQ	072
20161224	SYR	IRQ	072
20161224	LBR	LBR	070
20161224	LBR	LBR	070
20161224	LBR	USA	070
20161224	LBR	USA	070
20161224	KOR	AUS	071
20161224	USA	RUS	070
20161224	CAN	CAN	071
20161224	CHN	CAN	073
20161224	CHN	EUR	070
20161224	CHN	EUR	070
20161224	CHN	EUR	070
20161224	HUN	CAN	075
20161224	HUN	CAN	075
20161224	AUS	IRL	070
20161224	CHN	USA	075
20161224	CHN	USA	075
20161224	DNK	SWE	070
20161224	DNK	SWE	070
20161224	SAU	SAU	070
20161224	SWE	SWE	070
20161224	SWE	SWE	070
20161224	SWE	SWE	070
20161224	SWE	SWE	070
20161224	CHN	EUR	070
20161224	EGY	USA	070
20161224	ETH	ZWE	070
20161224	ETH	ZWE	070
20161224	ISR	USA	071
20161224	USA	EGY	070
20161224	USA	USA	073
20161224	AUS	NGA	070
20161224	DEU	USA	070
20161224	DEU	USA	070
20161224	EGY	LBN	070
20161224	EUR	TUR	071
20161224	EUR	TUR	071
20161224	ISR	SEN	070
20161224	ISR	SEN	070
20161224	ISR	SEN	070
20161224	RUS	USA	071
20161224	RUS	USA	071
20161224	SYR	SYR	075
20161224	SYR	SYR	075
20161224	USA	USA	071
20161224	USA	USA	070
20151225	GIN	IRL	073
20161224	ALB	NZL	070
20161224	ALB	NZL	070
20161224	FRA	FRA	071
20161224	FRA	FRA	071
20161224	FRA	FRA	071
20161224	FRA	FRA	071
20161224	RUS	SYR	070
20161224	RUS	SYR	070
20161224	RUS	SYR	070
20161224	USA	CHN	075
20161224	USA	CHN	075
20161224	USA	USA	071
20161224	USA	USA	071
20161224	USA	USA	071
20161224	USA	USA	070
20161224	USA	USA	072
20161224	USA	USA	072
20161224	EGY	USA	070
20161224	ESP	EUR	070
20161224	FIN	USA	070
20161224	FIN	USA	070
20161224	IND	USA	073
20161224	IRL	USA	073
20161224	IRL	USA	073
20161224	USA	NOR	075
20161224	USA	NOR	075
20161224	USA	USA	070
20161224	USA	USA	070
20151225	AFR	DEU	075
20151225	AFR	DEU	075
20161224	EGY	USA	070
20161224	IRL	USA	070
20161224	USA	MDG	070
20161224	USA	MDG	070
20161224	USA	USA	071
20161224	USA	USA	070
20161224	EGY	USA	070
20161224	GBR	GBR	071
20161224	ISR	PSE	071
20161224	ISR	PSE	071
20161224	USA	ISR	071
20161224	USA	ISR	071
20161224	USA	PSE	071
20161224	USA	PSE	071
20161224	USA	PSE	071
20161224	USA	USA	071
20161224	USA	USA	071
20161224	USA	USA	071
20161224	USA	RUS	070
20161224	ISR	SEN	070
20161224	EUR	IRL	071
20161224	FRA	USA	070
20161224	FRA	USA	070
20161224	ISR	ISR	071
20161224	TUN	ITA	072
20161224	TUN	ITA	072
20161224	USA	AFR	070
20161224	USA	USA	070
20161224	USA	USA	070
20161224	IND	IND	071
20161224	IND	IND	071
20161224	IND	IND	071
20161224	SYR	ISR	072
20161224	SYR	ISR	072
20161224	USA	PHL	070
20161224	USA	PHL	070
20161224	USA	PHL	070
20161224	PNG	AUS	073
20161224	SYR	SAU	072
20161224	SYR	SAU	072
20161224	AUS	GHA	073
20161224	CZE	USA	075
20161224	CZE	USA	075
20161224	CZE	USA	075
20161224	EUR	TUR	071
20161224	EUR	TUR	071
20161224	POL	PHL	074
20161224	RUS	RUS	070
20161224	SYR	SYR	075
20161224	SYR	SYR	075
20161224	SYR	TUR	070
20161224	SYR	TUR	070
20161224	USA	IRN	071
20161224	ISR	USA	071
20161224	ISR	USA	071
20161224	ISR	PSE	071
20161224	ISR	PSE	071
20161224	NLD	GBR	071
20161224	NLD	GBR	071
20161224	RUS	USA	070
20161224	RUS	USA	070
20161224	SGP	BRA	071
20161224	SWE	GBR	071
20161224	SWE	GBR	071
20161224	USA	FRA	071
20161224	USA	FRA	071
20161224	AUS	AUS	071
20161224	AUS	AUS	071
20161224	AUS	AUS	071
20161224	AUT	AUT	071
20161224	AUT	AUT	071
20161224	ESP	USA	071
20161224	ESP	USA	071
20161224	JPN	SSD	072
20161224	SDN	AUS	073
20161224	SDN	AUS	073
20161224	USA	USA	071
20161224	USA	USA	073
20161224	USA	USA	073
20161224	USA	USA	073
20161224	USA	USA	073
20161224	USA	USA	073
20161224	EGY	NOR	070
20161224	ITA	ITA	071
20161224	PSE	UKR	075
20161224	PSE	UKR	075
20161224	ZWE	AFR	070
20161224	AFR	USA	070
20161224	AFR	USA	070
20161224	ARE	SAU	071
20161224	ARE	SAU	071
20161224	DEU	DEU	070
20161224	GBR	USA	071
20161224	GHA	GHA	070
20161224	IRQ	SYR	073
20161224	IRQ	SYR	073
20161224	IRQ	SYR	073
20161224	POL	BHR	072
20161224	SAU	USA	071
20161224	TUR	TUR	070
20161224	USA	GBR	071
20161224	CAN	CAN	071
20161224	CAN	CAN	071
20161224	RUS	IRN	070
20161224	RUS	IRN	070
20161224	RUS	IRN	070
20161224	SOM	SOM	073
20161224	USA	ARM	071
20161224	USA	PAK	071
20161224	CHN	BRN	072
20161224	PAK	USA	071
20161224	USA	LBR	070
20161224	ZAF	AFR	071
20161224	ZAF	AFR	071
20161224	BLZ	BLZ	071
20161224	CHN	USA	071
20161224	RUS	SRB	070
20161224	RUS	SRB	070
20161224	RUS	SRB	070
20161224	RUS	SRB	070
20161224	SGP	BRA	071
20161224	USA	USA	070
20161224	GBR	SSD	070
20161224	GBR	SSD	070
20161224	ITA	LBY	070
20161224	PAK	USA	071
20161224	TUR	SYR	073
20161224	USA	ARM	071
20161224	USA	ARM	071
20161224	USA	ARM	071
20161224	USA	ARM	071
20161224	USA	USA	071
20161224	USA	USA	071
20161224	USA	USA	071
20161224	IDN	SYR	071
20161224	IDN	SYR	071
20161224	USA	IRQ	072
20161224	USA	IRQ	072
20161224	USA	SYR	073
20161224	USA	SYR	073
20161224	USA	IRQ	072
20161224	USA	IRQ	072
20161224	USA	USA	070
20161224	USA	USA	070
20161124	USA	SSD	074
20161224	ASA	UZB	071
20161224	USA	GRC	070
20161224	USA	USA	070
20161224	USA	USA	073
20161224	USA	USA	073
20161224	IRN	RUS	070
20161224	IRN	RUS	070
20161224	IRN	RUS	070
20161224	ITA	ITA	073
20161224	USA	ARM	071
20161224	USA	USA	070
20161224	USA	JPN	072
20161224	USA	USA	071
20161224	USA	USA	070
20161224	AUS	AUS	070
20161224	CHN	BGD	070
20161224	CHN	BGD	070
20161224	EAF	EUR	071
20161224	PHL	USA	070
20161224	SYR	SYR	073
20161224	USA	ITA	070
20161224	USA	ITA	070
20161224	AFR	ZAF	070
20161224	CHN	BGD	070
20161224	CHN	BGD	070
20161224	THA	HTI	070
20161224	USA	ARM	071
20161224	USA	ARM	071
20161224	USA	USA	073
20161224	USA	USA	070
20161224	ZAF	AFR	070
20161224	AZE	AZE	070
20161224	MCO	CAN	070
20161224	USA	CHN	070
20161224	USA	CHN	070
20161224	USA	CHN	070
20161224	VCT	IRL	073
20161224	AUS	AFG	072
20161224	AUS	AFG	072
20161224	CHN	CHN	073
20161224	WST	AFG	072
20161224	WST	AFG	072
20161224	MDV	USA	073
20161224	MDV	USA	073
20161224	PAK	UZB	070
20161224	PAK	PAK	070
20161224	PAK	UZB	070
20161224	PAK	UZB	070
20161224	USA	USA	073
20161224	USA	UKR	072
20161224	IND	PAK	075
20161224	IRN	RUS	070
20161224	IRN	RUS	070
20161224	SYR	SYR	075
20161224	USA	GBR	073
20161224	USA	GBR	073
20161224	USA	USA	071
20161224	USA	USA	071
20161224	CYP	RUS	071
20161224	CYP	RUS	071
20161224	CYP	RUS	071
20161224	RUS	SYR	075
20161224	RUS	UKR	075
20161224	USA	IRQ	072
20161224	USA	IRQ	072
20161224	USA	POL	071
